class,mean,CI1,CI2,N,label
color,0.11764705882352941,0.044117647058823532,0.19117647058823528,68,"child-directed, 4, not binned"
age,0.35135135135135137,0.1891891891891892,0.48648648648648651,37,"child-directed, 4, not binned"
material,0.0,0.0,0.0,3,"child-directed, 4, not binned"
value,0.96666666666666667,0.84999999999999998,0.98333333333333328,60,"child-directed, 4, not binned"
dimension,0.45726495726495725,0.3888888888888889,0.5213675213675214,234,"child-directed, 4, not binned"
physical,0.29999999999999999,0.0,0.5,10,"child-directed, 4, not binned"
color,0.0,0.0,0.0,1,"child-produced, 4, not binned"
age,0.0,0.0,0.0,1,"child-produced, 4, not binned"
dimension,0.63157894736842102,0.36842105263157893,0.78947368421052633,19,"child-produced, 4, not binned"
value,0.66666666666666663,0.0,0.66666666666666663,3,"child-produced, 4, not binned"
dimension-age-physical,0.4377224199288256,0.37722419928825623,0.49110320284697506,281,"child-directed, 4, binned"
value,0.96666666666666667,0.8666666666666667,0.98333333333333328,60,"child-directed, 4, binned"
shape-color-material,0.11267605633802817,0.042253521126760563,0.18309859154929578,71,"child-directed, 4, binned"
dimension-age-physical,0.59999999999999998,0.34999999999999998,0.75,20,"child-produced, 4, binned"
value,0.66666666666666663,0.0,0.66666666666666663,3,"child-produced, 4, binned"
shape-color-material,0.0,0.0,0.0,1,"child-produced, 4, binned"
