adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,10,value,1.0,0.787272727272727,4,child-directed
just,2,value,0.0,0.60125,4,child-directed
dear,1,value,1.0,0.61,4,child-directed
sleepy,3,human,0.0,0.546,4,child-directed
yellow,58,color,0.0,0.343333333333333,4,child-directed
bright,24,color,0.41666666666666669,0.464,4,child-directed
cold,3,physical,0.33333333333333331,0.69,4,child-directed
slow,1,speed,0.0,0.504285714285714,4,child-directed
gold,2,color,0.0,0.214166666666667,4,child-directed
wee,36,dimension,0.58333333333333337,0.762857142857143,4,child-directed
young,42,age,0.0,0.551538461538462,4,child-directed
late,2,temporal,1.0,0.422307692307692,4,child-directed
black,39,color,0.0,0.269,4,child-directed
pretty,76,value,0.94736842105263153,0.863333333333333,4,child-directed
sweet,2,physical,1.0,0.724666666666667,4,child-directed
orange,12,color,0.0,0.301538461538462,4,child-directed
wool,10,material,0.0,0.287,4,child-directed
smart,8,human,1.0,0.596666666666667,4,child-directed
brown,91,color,0.032967032967032968,0.29875,4,child-directed
good,70,value,0.55714285714285716,0.78125,4,child-directed
waterproof,2,physical,0.0,0.192307692307692,4,child-directed
big,504,dimension,0.75198412698412698,0.691666666666667,4,child-directed
dutch,1,nationality,0.0,0.383333333333333,4,child-directed
fat,19,dimension,0.0,0.619375,4,child-directed
awful,11,value,1.0,0.641666666666667,4,child-directed
nasty,7,value,0.5714285714285714,0.757142857142857,4,child-directed
handy,1,value,1.0,0.674166666666667,4,child-directed
cool,3,physical,0.33333333333333331,0.678125,4,child-directed
wooden,20,material,0.0,0.255454545454545,4,child-directed
bad,23,value,0.043478260869565216,0.71625,4,child-directed
stupid,2,human,1.0,0.6575,4,child-directed
small,19,dimension,0.89473684210526316,0.513,4,child-directed
soft,12,physical,0.16666666666666666,0.572222222222222,4,child-directed
round,11,shape,0.090909090909090912,0.23875,4,child-directed
mean,5,human,0.59999999999999998,0.712727272727273,4,child-directed
heavy,7,physical,0.0,0.5725,4,child-directed
square,2,shape,0.0,0.384285714285714,4,child-directed
old,53,age,0.18867924528301888,0.646666666666667,4,child-directed
fluffy,21,physical,0.095238095238095233,0.573333333333333,4,child-directed
hard,6,physical,0.0,0.428181818181818,4,child-directed
back,1,location,1.0,0.297142857142857,4,child-directed
second,2,temporal,0.0,0.0675,4,child-directed
proper,7,physical,1.0,0.766666666666667,4,child-directed
rough,1,physical,0.0,0.715,4,child-directed
special,1,value,1.0,0.68,4,child-directed
blue,68,color,0.14705882352941177,0.346666666666667,4,child-directed
eensie,3,dimension,1.0,0.7175,4,child-directed
purple,4,color,0.5,0.2405,4,child-directed
jolly,10,material,1.0,0.675714285714286,4,child-directed
teeny,11,dimension,0.36363636363636365,0.531818181818182,4,child-directed
horrible,4,value,0.75,0.64,4,child-directed
podgy,1,dimension,0.0,0.67,4,child-directed
new,48,age,0.625,0.265,4,child-directed
red,122,color,0.040983606557377046,0.174166666666667,4,child-directed
full,4,physical,0.0,0.384444444444444,4,child-directed
cozy,1,value,0.0,0.683333333333333,4,child-directed
french,8,nationality,0.0,0.278888888888889,4,child-directed
fun,14,value,0.8571428571428571,0.872857142857143,4,child-directed
merry,1,human,1.0,0.72,4,child-directed
strong,52,physical,0.0,0.64375,4,child-directed
super,1,human,1.0,0.770833333333333,4,child-directed
dry,1,physical,0.0,0.3375,4,child-directed
great,54,value,1.0,0.838,4,child-directed
last,11,dimension,0.0,0.39,4,child-directed
weird,1,value,0.0,0.815,4,child-directed
loud,2,physical,0.0,0.48,4,child-directed
first,9,material,0.66666666666666663,0.141818181818182,4,child-directed
golden,1,color,1.0,0.33625,4,child-directed
naughty,4,human,1.0,0.723,4,child-directed
weensie,3,dimension,0.0,0.763125,4,child-directed
fancy,3,value,0.33333333333333331,0.673636363636364,4,child-directed
tiny,80,dimension,0.125,0.414444444444444,4,child-directed
