class,mean,CI1,CI2,N,age,p/d
temporal,0.25,0.0,0.5,8,4,child-directed
color,0.073076923076923081,0.050000000000000003,0.096153846153846159,520,4,child-directed
age,0.26315789473684209,0.19078947368421054,0.32894736842105265,152,4,child-directed
material,0.0,0.0,0.0,41,4,child-directed
value,0.8632075471698113,0.83333333333333337,0.8867924528301887,636,4,child-directed
shape,0.076923076923076927,0.0,0.23076923076923078,13,4,child-directed
location,0.25,0.0,0.5,4,4,child-directed
human,0.66101694915254239,0.50847457627118642,0.76271186440677963,59,4,child-directed
nationality,0.0,0.0,0.0,9,4,child-directed
speed,0.33333333333333331,0.0,0.66666666666666663,6,4,child-directed
dimension,0.59375,0.56578947368421051,0.62088815789473684,1216,4,child-directed
physical,0.14054054054054055,0.091891891891891897,0.1891891891891892,185,4,child-directed
temporal,0.40000000000000002,0.0,0.59999999999999998,5,4,child-produced
color,0.14935064935064934,0.097402597402597407,0.20779220779220781,154,4,child-produced
age,0.15625,0.03125,0.28125,32,4,child-produced
material,0.0,0.0,0.0,8,4,child-produced
value,0.56989247311827962,0.489247311827957,0.63440860215053763,186,4,child-produced
shape,0.0,0.0,0.0,5,4,child-produced
location,0.20000000000000001,0.0,0.40000000000000002,5,4,child-produced
human,0.86206896551724133,0.65517241379310343,0.93103448275862066,29,4,child-produced
nationality,0.0,0.0,0.0,2,4,child-produced
dimension,0.61250000000000004,0.56666666666666665,0.65416666666666667,480,4,child-produced
physical,0.33333333333333331,0.125,0.5,24,4,child-produced
