age,color,material,value,shape,dimension,physical,other
young,yellow,wooden,awful,round,tubby?,dry,chinese
rotten,brown,plastic,brilliant?,oval,fat,sharp,sleep
new,blue,iron,fantastic,square,narrow,hard,skin
ancient,golden,wool,awesome,misshapen?,flat,rough,loll
teenage,tan,silk,okay,,thin,damp,glitzy
old,pink,concrete,good,,huge,wet,smile
ole,green,,nasty,,itsy,soft,sorry
dead?,orange,,bad,,tall,smooth,far
fresh,silver,,horrid,,podgy?,open,exact
,red,,horrible,,small,slime,cool
,white,,nice,,long,,fragile
,grey,,poor,,chubby,,quick
,gold,,alright,,thick,,brave
,black,,great,,little,,meadow
,gray,,grand,,weeny,,horn
,color,,,,giant,,past
,tawny,,,,eensie,,second
,pale?,,,,teeny,,odd
,purple,,,,tiny,,cosy
,,,,,wee,,sun
,,,,,big,,wriggle
,,,,,itty,,crunch
,,,,,weensie,,full
,,,,,bitsy,,cozy
,,,,,teensie,,french
,,,,,,,wild
,,,,,,,busy
,,,,,,,strong
,,,,,,,whine
,,,,,,,love
,,,,,,,fake
,,,,,,,angry
,,,,,,,faint
,,,,,,,next
,,,,,,,live
,,,,,,,gorgeous
,,,,,,,wicked
,,,,,,,clever
,,,,,,,yuck
,,,,,,,sore
,,,,,,,warm
,,,,,,,pretend
,,,,,,,obvious
,,,,,,,beautiful
,,,,,,,dandy
,,,,,,,craze
,,,,,,,bumpity
,,,,,,,hot
,,,,,,,lamb
,,,,,,,mess
,,,,,,,pokey
,,,,,,,spot
,,,,,,,sneak
,,,,,,,wrong
,,,,,,,jumping
,,,,,,,lay
,,,,,,,flutter
,,,,,,,natural
,,,,,,,third
,,,,,,,wiggle
,,,,,,,light
,,,,,,,shade
,,,,,,,egg
,,,,,,,wind
,,,,,,,cute
,,,,,,,mexican
,,,,,,,through
,,,,,,,shake
,,,,,,,cold
,,,,,,,perfect
,,,,,,,personal
,,,,,,,late
,,,,,,,nifty
,,,,,,,might
,,,,,,,goof
,,,,,,,crash
,,,,,,,front
,,,,,,,gloom
,,,,,,,fuzz
,,,,,,,side
,,,,,,,mean
,,,,,,,heavy
,,,,,,,upstairs
,,,,,,,bump
,,,,,,,chunk
,,,,,,,maternal
,,,,,,,special
,,,,,,,flower
,,,,,,,haired
,,,,,,,jolly
,,,,,,,sparkle
,,,,,,,health
,,,,,,,dutch
,,,,,,,correct
,,,,,,,grease
,,,,,,,pathetic
,,,,,,,dirt
,,,,,,,free
,,,,,,,vicious
,,,,,,,organic
,,,,,,,american
,,,,,,,yum
,,,,,,,loud
,,,,,,,first
,,,,,,,cheese
,,,,,,,naughty
,,,,,,,fancy
,,,,,,,delicious
,,,,,,,top
,,,,,,,comfy
,,,,,,,final
,,,,,,,darned
,,,,,,,hug
,,,,,,,western
,,,,,,,crawl
,,,,,,,jump
,,,,,,,double
,,,,,,,silly
,,,,,,,ooze
,,,,,,,glottal
,,,,,,,tidy
,,,,,,,sad
,,,,,,,gentle
,,,,,,,self
,,,,,,,snot
,,,,,,,soap
,,,,,,,even
,,,,,,,sire
,,,,,,,regular
,,,,,,,medical
,,,,,,,flop
,,,,,,,steady
,,,,,,,hungry
,,,,,,,tooth
,,,,,,,greed
,,,,,,,clean
,,,,,,,salt
,,,,,,,dot
,,,,,,,bonnie
,,,,,,,bright
,,,,,,,slow
,,,,,,,slop
,,,,,,,busy
,,,,,,,jam
,,,,,,,pretty
,,,,,,,famous
,,,,,,,fluff
,,,,,,,naked
,,,,,,,stupid
,,,,,,,sex
,,,,,,,dumb
,,,,,,,wonder
,,,,,,,crooked
,,,,,,,enough
,,,,,,,merry
,,,,,,,laze
,,,,,,,last
,,,,,,,quiet
,,,,,,,whole
,,,,,,,point
,,,,,,,sweet
,,,,,,,pot
,,,,,,,hollow
,,,,,,,empty
,,,,,,,innocent
,,,,,,,craft
,,,,,,,instant
,,,,,,,attentive
,,,,,,,dribble
,,,,,,,funk
,,,,,,,gracious
,,,,,,,juice
,,,,,,,plain
,,,,,,,trick
,,,,,,,ugly
,,,,,,,neat
,,,,,,,fun
,,,,,,,stink
,,,,,,,blood
,,,,,,,dizzy
,,,,,,,ready
,,,,,,,return
,,,,,,,different
,,,,,,,squiggle
,,,,,,,cross
,,,,,,,same
,,,,,,,strange
,,,,,,,fuss
,,,,,,,bald
,,,,,,,munch
,,,,,,,rain
,,,,,,,delicate
,,,,,,,fierce
,,,,,,,butter
,,,,,,,cheek
,,,,,,,english
,,,,,,,waterproof
,,,,,,,musical
,,,,,,,left
,,,,,,,just
,,,,,,,less
,,,,,,,slippery
,,,,,,,sleepy
,,,,,,,human
,,,,,,,speed
,,,,,,,ease
,,,,,,,handy
,,,,,,,snap
,,,,,,,east
,,,,,,,vain
,,,,,,,smart
,,,,,,,real
,,,,,,,dark
,,,,,,,bit
,,,,,,,tick
,,,,,,,formal
,,,,,,,crisp
,,,,,,,bulge
,,,,,,,right
,,,,,,,verbal
,,,,,,,back
,,,,,,,bounce
,,,,,,,hair
,,,,,,,born
,,,,,,,proper
,,,,,,,creep
,,,,,,,dense
,,,,,,,mood
,,,,,,,bottom
,,,,,,,noise
,,,,,,,posh
,,,,,,,exciting
,,,,,,,super
,,,,,,,shine
,,,,,,,central
,,,,,,,own
,,,,,,,dulcet
,,,,,,,float
,,,,,,,legged
,,,,,,,sop
,,,,,,,illustrious
,,,,,,,fast
,,,,,,,bubble
,,,,,,,happy
,,,,,,,head
,,,,,,,brand
,,,,,,,crank
,,,,,,,bum
,,,,,,,TRUE
,,,,,,,spice
,,,,,,,flip
,,,,,,,horned
,,,,,,,wisp
,,,,,,,grouch
,,,,,,,clear
,,,,,,,trim
,,,,,,,taste
,,,,,,,dear
,,,,,,,fashioned
,,,,,,,creak
,,,,,,,curl
,,,,,,,tuft
,,,,,,,sick
,,,,,,,smell
,,,,,,,polar
,,,,,,,poop
,,,,,,,scrub
,,,,,,,smiley
,,,,,,,nutrient
,,,,,,,squeak
,,,,,,,puss
,,,,,,,crust
,,,,,,,bird
,,,,,,,wobble
,,,,,,,shiver
,,,,,,,chatter
,,,,,,,fleece
,,,,,,,stripe
,,,,,,,albino
,,,,,,,huff
,,,,,,,looney
,,,,,,,thirst
,,,,,,,puff
,,,,,,,loop
,,,,,,,deep
