age,color,material,value,shape,dimension,physical,other,location,nationality,speed,human,temporal
young,yellow,wooden,awful,round,tubby,dry,glitzy,far,Chinese,quick,sleepy,past
ripe,brown,plastic,brilliant,oval,fat,sharp,exact,western,French,instant,sorry,next
new,blue,iron,fantastic,square,narrow,hard,bubbly,front,Mexican,slow,brave,late
ancient,golden,wool,awesome,squiggly,flat,rough,organic,south,Dutch,fast,angry,third
teenage,tan,silk,okay,,thin,damp,busy,east,American,speedy,live,final
old,pink,concrete,good,,huge,wet,natural,side,English,,clever,early
fresh,green,haired,nasty,,itsy,soft,fake,upstairs,,,mean,second
,orange,,bad,,tall,smooth,sore,left,,,vicious,
,silver,,horrid,,podgy,crunchy,pretend,back,,,naughty,
,red,,horrible,,small,warm,obvious,bottom,,,dumb,
,white,,nice,,long,hot,bumpity,central,,,stupid,
,grey,,poor,,chubby,cold,formal,high,,,wicked,
,gold,,alright,,thick,fuzzy,messy,low,,,maternal,
,black,,great,,little,heavy,pokey,glottal,,,gentle,
,gray,,grand,,weeny,bumpy,personal,meadow,,,innocent,
,tawny,,crummy,,giant,fluffy,darned,close,,,crazy,
,pale,,odd,,eensie,salty,free,top,,,healthy,
,purple,,weird,,teeny,hollow,even,,,,dead,
,faint,,yucky,,tiny,empty,double,,,,gloomy,
,bright,,dandy,,wee,waterproof,choice,,,,silly,
,dark,,wrong,,big,slippery,whole,,,,goofy,
,clear,,perfect,,weensie,crisp,naked,,,,hungry,
,wan,,nifty,,bitsy,dense,steady,,,,sad,
,,,special,,teensie,full,medical,,,,merry,
,,,pathetic,,wide,sweet,trick,,,,attentive,
,,,correct,,large,fragile,stinky,,,,gracious,
,,,cute,,gigantic,crooked,horned,,,,whiny,
,,,regular,,short,strong,ready,,,,dizzy,
,,,fancy,,open,cool,different,,,,cross,
,,,comfy,,trim,misshapen?,same,,,,cranky,
,,,right,,skinny,spicey,musical,,,,fierce,
,,,exciting,,,clean,real,,,,human,
,,,illustrious,,,dirty,wiggly,,,,lazy,
,,,cozy,,,shiny,wriggly,,,,greedy,
,,,gorgeous,,,bald,verbal,,,,vain,
,,,beautiful,,,delicate,own,,,,smart,
,,,precious,,,squeaky,head,,,,happy,
,,,delicious,,,steep,TRUE,,,,grouchy,
,,,yummy,,,sparkly,roundabout,,,,smiley,
,,,tidy,,,light,still,,,,royal,
,,,pretty,,,loud,spare,,,,fair,
,,,handy,,,quiet,part,,,,grumpy,
,,,plain,,,slick,fellow,,,,mad,
,,,ugly,,,,undercover,,,,wise,
,,,bonnie,,,,multiple,,,,kind,
,,,dulcet,,,,,,,,sneaky,
,,,dear,,,,,,,,famous,
,,,junk,,,,,,,,sick,
,,,scary,,,,,,,,,
,,,rotten,,,,,,,,,
,,,poop,,,,,,,,,
,,,strange,,,,,,,,,
,,,posh,,,,,,,,,
,,,wild,,,,,,,,,
,,,fun,,,,,,,,,
,,,neat,,,,,,,,,
,,,just,,,,,,,,,
