adj,freq,sem_class,p/d
cute,4,other,child-directed
soggy,1,other,child-directed
just,3,other,child-directed
less,1,other,child-directed
true,1,other,child-directed
slippery,1,other,child-directed
yellow,8,color,child-directed
bright,7,other,child-directed
cold,2,other,child-directed
perfect,1,other,child-directed
gold,1,color,child-directed
rose,1,other,child-directed
late,2,other,child-directed
black,4,color,child-directed
pretty,28,other,child-directed
nifty,1,other,child-directed
orange,1,color,child-directed
sorry,1,other,child-directed
east,1,other,child-directed
smart,4,other,child-directed
real,12,other,child-directed
brown,10,color,child-directed
good,36,value,child-directed
tubby,1,dimension,child-directed
big,78,dimension,child-directed
fat,4,dimension,child-directed
dark,1,other,child-directed
awful,2,value,child-directed
bit,5,other,child-directed
silver,1,color,child-directed
special,1,other,child-directed
fluff,2,other,child-directed
fragile,1,other,child-directed
bad,5,value,child-directed
stupid,2,other,child-directed
small,4,dimension,child-directed
soft,3,physical,child-directed
round,4,shape,child-directed
mean,5,other,child-directed
heavy,2,other,child-directed
square,1,shape,child-directed
old,16,age,child-directed
ole,1,age,child-directed
hard,1,physical,child-directed
bounce,1,other,child-directed
sex,1,other,child-directed
born,1,other,child-directed
proper,2,other,child-directed
rough,1,physical,child-directed
creep,2,other,child-directed
wonder,2,other,child-directed
blue,5,color,child-directed
eensie,1,dimension,child-directed
jolly,2,other,child-directed
teeny,8,dimension,child-directed
sparkle,1,other,child-directed
fuzz,1,other,child-directed
horrible,1,value,child-directed
new,9,age,child-directed
red,10,color,child-directed
full,1,other,child-directed
pathetic,1,other,child-directed
use,1,other,child-directed
french,1,other,child-directed
free,1,other,child-directed
merry,1,other,child-directed
strong,3,other,child-directed
super,1,other,child-directed
dead,1,age,child-directed
shine,7,other,child-directed
great,17,value,child-directed
last,8,other,child-directed
brilliant,1,value,child-directed
quiet,1,other,child-directed
important,1,other,child-directed
spin,1,other,child-directed
whole,1,other,child-directed
golden,1,color,child-directed
naughty,5,other,child-directed
love,7,other,child-directed
dulcet,1,other,child-directed
sweet,4,other,child-directed
pot,1,other,child-directed
fancy,1,other,child-directed
fast,1,other,child-directed
oval,2,shape,child-directed
next,2,other,child-directed
upstairs,1,other,child-directed
little,147,dimension,child-directed
ancient,1,age,child-directed
damp,1,physical,child-directed
comfy,1,other,child-directed
long,14,dimension,child-directed
plastic,2,material,child-directed
live,2,other,child-directed
white,5,color,child-directed
empty,1,other,child-directed
wicked,2,other,child-directed
flat,1,dimension,child-directed
head,1,other,child-directed
sleeved,1,other,child-directed
innocent,2,other,child-directed
warm,1,other,child-directed
lonely,2,other,child-directed
crawl,2,other,child-directed
spice,1,other,child-directed
wool,1,material,child-directed
plain,1,other,child-directed
straight,1,other,child-directed
pretend,1,other,child-directed
smooth,1,physical,child-directed
grey,4,color,child-directed
