class,mean,CI1,CI2,N,age,p/d
1,0.5757575757575758,0.36363636363636365,0.69696969696969702,33,2,child-directed
2,0.25486381322957197,0.21789883268482491,0.29377431906614787,514,2,child-directed
3,0.24396442185514614,0.21346886912325286,0.27318932655654382,787,2,child-directed
4,0.24205748865355523,0.20877458396369139,0.27382753403933435,661,2,child-directed
5,0.4325290437890974,0.40214477211796246,0.46112600536193027,1119,2,child-directed
6,0.88709677419354838,0.85282258064516125,0.91129032258064513,496,2,child-directed
7,0.56565656565656564,0.52904040404040409,0.59848484848484851,792,2,child-directed
8,0.39862542955326463,0.37514318442153494,0.42153493699885453,1746,2,child-directed
9,0.9061032863849765,0.87949921752738658,0.92488262910798125,639,2,child-directed
10,0.83176100628930816,0.79874213836477992,0.85849056603773588,636,2,child-directed
11,0.8529411764705882,0.67647058823529416,0.91176470588235292,34,2,child-directed
12,0.97777777777777775,0.84444444444444444,1.0,45,2,child-directed
1,0.33333333333333331,0.0,0.66666666666666663,3,2,child-produced
2,0.016666666666666666,0.0,0.041666666666666664,120,2,child-produced
3,0.17924528301886791,0.10377358490566038,0.25471698113207547,106,2,child-produced
4,0.18446601941747573,0.10679611650485436,0.26213592233009708,103,2,child-produced
5,0.41628959276018102,0.36877828054298645,0.46153846153846156,442,2,child-produced
6,0.69999999999999996,0.5714285714285714,0.7857142857142857,70,2,child-produced
7,0.21839080459770116,0.12643678160919541,0.2988505747126437,87,2,child-produced
8,0.52760736196319014,0.46932515337423314,0.57975460122699385,326,2,child-produced
9,0.84100418410041844,0.78661087866108792,0.87866108786610875,239,2,child-produced
10,0.76100628930817615,0.68553459119496851,0.8176100628930818,159,2,child-produced
11,0.89411764705882357,0.80000000000000004,0.94117647058823528,85,2,child-produced
12,0.81818181818181823,0.54545454545454541,0.90909090909090906,22,2,child-produced
