class,mean,CI1,CI2,N,age,p/d
1,0.36775818639798491,0.31989924433249373,0.41561712846347609,397,2,child-directed
2,0.21202327084680025,0.19198448610213317,0.23206205559146736,1547,2,child-directed
3,0.49924471299093653,0.47129909365558914,0.5249244712990937,1324,2,child-directed
4,0.67237527922561424,0.6470588235294118,0.69694713328369318,1343,2,child-directed
5,0.54757204895380973,0.52783260955388867,0.56652191077773395,2533,2,child-directed
6,0.90095846645367417,0.85942492012779548,0.92651757188498407,313,2,child-directed
7,0.97777777777777775,0.84444444444444444,1.0,45,2,child-directed
1,0.069767441860465115,0.0,0.13953488372093023,43,2,child-produced
2,0.11347517730496454,0.078014184397163122,0.1524822695035461,282,2,child-produced
3,0.42184154175588867,0.37473233404710921,0.46252676659528907,467,2,child-produced
4,0.45000000000000001,0.36875000000000002,0.51875000000000004,160,2,child-produced
5,0.65402843601895733,0.61295418641390209,0.68878357030015802,633,2,child-produced
6,0.93548387096774188,0.88387096774193552,0.96129032258064517,155,2,child-produced
7,0.81818181818181823,0.54545454545454541,0.90909090909090906,22,2,child-produced
