class,mean,CI1,CI2,N,age,p/d
1,0.0625,0.0,0.14583333333333334,48,3,child-directed
2,0.1761006289308176,0.13522012578616352,0.21698113207547171,318,3,child-directed
3,0.43267504488330338,0.38958707360861761,0.47396768402154399,557,3,child-directed
4,0.46031746031746029,0.38624338624338622,0.52910052910052907,189,3,child-directed
5,0.6586059743954481,0.6216216216216216,0.69132290184921763,703,3,child-directed
6,0.92452830188679247,0.86792452830188682,0.95597484276729561,159,3,child-directed
7,0.73076923076923073,0.5,0.84615384615384615,26,3,child-directed
1,0.625,0.125,0.75,8,3,child-produced
2,0.25454545454545452,0.12727272727272726,0.36363636363636365,55,3,child-produced
3,0.42391304347826086,0.35326086956521741,0.4891304347826087,184,3,child-produced
4,0.39560439560439559,0.2857142857142857,0.48351648351648352,91,3,child-produced
5,0.63673469387755099,0.5714285714285714,0.68979591836734699,245,3,child-produced
6,0.78260869565217395,0.52173913043478259,0.86956521739130432,23,3,child-produced
7,0.0,0.0,0.0,1,3,child-produced
