age,color,material,value,shape,dimension,physical,other
old,yellow,wooden,nasty,round,giant,soft,cute
dead?,black,concrete,good,,wee,hard,just
rotten,orange,,horrible,,wide,dry,cheese
new,brown,,awful,,big,damp,sleepy
ole,gray,,bad,,fat,wet,bright
fresh,blue,,horrid,,large,sharp,naughty
,purple,,awesome,,eensie,,through
,red,,crummy,,teeny,,same
,white,,nice,,small,,skin
,grey,,poor,,weensie,,loll
,pink,,great,,tiny,,wriggle
,green,,grand,,little,,busy
,,,,,long,,chinese
,,,,,thin,,royal
,,,,,gigantic,,creep
,,,,,huge,,pretty
,,,,,itsy,,sweet
,,,,,bitsy,,smile
,,,,,teensie,,real
,,,,,short,,return
,,,,,tall,,hop
,,,,,weeny,,choice
,,,,,,,dark
,,,,,,,wink
,,,,,,,roundabout
,,,,,,,bit
,,,,,,,tick
,,,,,,,handy
,,,,,,,cool
,,,,,,,fluff
,,,,,,,bag
,,,,,,,stupid
,,,,,,,quick
,,,,,,,mean
,,,,,,,heavy
,,,,,,,upstairs
,,,,,,,fair
,,,,,,,polar
,,,,,,,bump
,,,,,,,back
,,,,,,,hair
,,,,,,,grump
,,,,,,,erase
,,,,,,,glottal
,,,,,,,still
,,,,,,,dear
,,,,,,,close
,,,,,,,special
,,,,,,,wonder
,,,,,,,sun
,,,,,,,slick
,,,,,,,jolly
,,,,,,,fog
,,,,,,,dutch
,,,,,,,snuggle
,,,,,,,full
,,,,,,,posh
,,,,,,,dirt
,,,,,,,fuzz
,,,,,,,french
,,,,,,,boss
,,,,,,,spare
,,,,,,,merry
,,,,,,,precious
,,,,,,,strong
,,,,,,,super
,,,,,,,last
,,,,,,,louse
,,,,,,,american
,,,,,,,yum
,,,,,,,weird
,,,,,,,whole
,,,,,,,south
,,,,,,,first
,,,,,,,beautiful
,,,,,,,own
,,,,,,,love
,,,,,,,point
,,,,,,,scrub
,,,,,,,open
,,,,,,,sheep
,,,,,,,wan
,,,,,,,top
,,,,,,,next
,,,,,,,live
,,,,,,,quiet
,,,,,,,low
,,,,,,,angry
,,,,,,,friend
,,,,,,,happy
,,,,,,,shine
,,,,,,,head
,,,,,,,clever
,,,,,,,yuck
,,,,,,,brand
,,,,,,,squash
,,,,,,,sore
,,,,,,,part
,,,,,,,western
,,,,,,,bum
,,,,,,,crawl
,,,,,,,bounce
,,,,,,,jump
,,,,,,,kind
,,,,,,,wise
,,,,,,,plain
,,,,,,,ugly
,,,,,,,silly
,,,,,,,fun
,,,,,,,dumb
,,,,,,,wicked
,,,,,,,steep
,,,,,,,trim
,,,,,,,stink
,,,,,,,flop
,,,,,,,wild
,,,,,,,ripe
,,,,,,,dandy
,,,,,,,sag
,,,,,,,fellow
,,,,,,,high
,,,,,,,juice
,,,,,,,fashioned
,,,,,,,ready
,,,,,,,crash
,,,,,,,craze
,,,,,,,different
,,,,,,,lemon
,,,,,,,cross
,,,,,,,snot
,,,,,,,undercover
,,,,,,,hot
,,,,,,,sick
,,,,,,,smell
,,,,,,,soap
,,,,,,,even
,,,,,,,junk
,,,,,,,multiple
,,,,,,,mess
,,,,,,,pokey
,,,,,,,smiley
,,,,,,,rain
,,,,,,,wrong
,,,,,,,jumping
,,,,,,,mad
,,,,,,,noise
,,,,,,,squeak
,,,,,,,early
,,,,,,,light
,,,,,,,cheek
,,,,,,,steady
,,,,,,,hungry
,,,,,,,scare
,,,,,,,switch
,,,,,,,clean
,,,,,,,wine
,,,,,,,egg
,,,,,,,tough
,,,,,,,wobble
,,,,,,,frost
,,,,,,,rowdy
,,,,,,,soggy
,,,,,,,flap
,,,,,,,ordinary
