adj,freq,lexical class,subjectivity score
limited,4,,
clean-up,1,,
prebiotic,1,,
pasteboard,1,,
unlawful,3,,
magnetic,5,,
four-year,1,,
desirable,1,,
yellow,145,color,0.343333333333333
sleek,3,,
asian,7,,
controversial,13,,
ornate,3,,
psychopathic,1,,
nous,1,,
up-,1,,
physiological,2,,
quadruple,1,,
sunlit,2,,
honourary,1,,
under,1,,
spef,1,,
sorry,17,human,0.68
spec,2,,
spea,1,,
6800rpm,1,,
50mb,1,,
unsold,1,,
regional,43,,
pummelled,1,,
every,1,,
hibernating,1,,
uncertain,2,,
low-key,1,,
vast,29,,
chapel,2,,
differentiated,1,,
strorny,1,,
wooden,270,material,0.255454545454545
twinkle,3,,
surgical,2,,
viable,3,,
gaelic,2,,
flashy,2,,
berno,1,,
greenish,1,,
poppy,1,,
undercover,2,other,0.293
ornamental,1,,
picketed,1,,
tenuous,1,,
faintest,1,,
tired,15,,
catalysed,2,,
consistent,7,,
almond,1,,
japanese,4,,
elegant,11,,
second,60,temporal,0.0675
fabulous,4,,
lacy,2,,
rigorous,3,,
subordinate,1,,
seafront,1,,
corrode,1,,
colourful,3,,
blue,307,color,0.346666666666667
established,6,,
deliberate,2,,
ruthless,1,,
religious,21,,
selected,2,,
hazy,1,,
liberated,3,,
above,1,,
resilient,1,,
new,1378,,0.265
net,16,,
upward,5,,
sixty-eight,1,,
med,1,,
impartial,1,,
socio-economic,1,,
non-governmental,1,,
remec,1,,
healthy,9,human,0.542222222222222
active,12,,
affiliated,1,,
quite,3,,
half,36,,
logarithmic,1,,
natured,1,,
lol,3,,
suitably,1,,
elaborate,4,,
military,26,,
suitable,11,,
doleful,2,,
glittering,1,,
golden,7,color,0.33625
fantastic,6,value,0.6725
volunt,1,,
secure,4,,
stray,1,,
tr,1,,
reawakened,1,,
cohe,1,,
psychological,12,,
visible,1,,
sizeable,1,,
moral,18,,
unanswered,1,,
achievable,1,,
socioeconomic,1,,
cont,1,,
total,17,,
homeopathic,1,,
well-stocked,1,,
spiky,3,,
negative,32,,
occupying,2,,
overhead,2,,
typo,1,,
spike,1,,
inner,46,,
tradesman,1,,
leaky,1,,
type,1,,
lorry,7,,
made-up,2,,
standardized,1,,
advance,1,,
composite,3,,
yo,4,,
georgian,1,,
hereby,1,,
phony,1,,
warm,29,physical,0.6675
dalesman,1,,
excellent,24,,
continual,2,,
organic,4,other,0.246666666666667
outdated,2,,
comprehensive,11,,
hoax,1,,
mm,2,,
unfailing,3,,
mi,2,,
worn,1,,
straddle,1,,
tne,1,,
daft,1,,
exploitative,1,,
candle-lit,1,,
erm,770,,
my,6,,
inside-out,1,,
decorative,3,,
tiddy,1,,
unjust,1,,
organized,1,,
non-prison,2,,
inlaid,2,,
jumble,1,,
statomatic,1,,
absolute,24,,
provincial,1,,
a-side,1,,
pettifogging,1,,
enquiry,1,,
anti-climax,1,,
classifi,1,,
far,3,location,0.609473684210526
hot,43,physical,0.403
low,36,location,0.594
adjacent,3,,
toxic,1,,
industrialised,1,,
ordinary,50,,
faulty,4,,
preferable,1,,
dignified,2,,
massive,41,,
raffle,2,,
inherent,1,,
marzipan,1,,
lengthy,1,,
demanding,2,,
eighty-eight,2,,
forewoman,1,,
modest,2,,
lushly,1,,
parallel,3,,
lar,2,,
execrable,1,,
elusive,1,,
splendid,12,,
third,31,temporal,0.180833333333333
acknowledged,1,,
fictional,2,,
greek,3,,
green,257,color,0.208461538461538
ultimate,5,,
capitalist,2,,
democratic,20,,
hedgehog,1,,
self-insulating,1,,
exotic,3,,
recurrent,1,,
hectare,1,,
over,2,,
satisfied,1,,
sickly,1,,
ghastly,6,,
oven,1,,
innovative,2,,
platonic,1,,
bread-and-butter,1,,
fir,3,,
ligand,2,,
fit,3,,
auditory,1,,
personal,72,other,0.444
cle,1,,
recreational,2,,
encapsulated,1,,
better,1,,
bottled,2,,
compensatory,1,,
missionary,1,,
workable,2,,
hidden,1,,
fin,1,,
centimetre,2,,
billeting,1,,
affected,1,,
similar,21,,
unemployed,4,,
safe,6,,
runny,2,,
glazed,3,,
sixteen,13,,
silver,2,color,0.251111111111111
structural,10,,
stinking,1,,
bony,1,,
one-to-one,1,,
whacking,2,,
classified,1,,
armoured,4,,
marvellous,12,,
reasonable,10,,
tradespeople,1,,
bona,2,,
side,9,location,0.271
mean,12,human,0.712727272727273
dour,2,,
financial,118,,
tatty,2,,
bearded,5,,
rind,1,,
navy,1,,
recognizable,1,,
large,137,dimension,0.548181818181818
self-,4,,
haired,6,material,0.324615384615385
sacramenta,1,,
hooked,1,,
rare,10,,
drawn-out,1,,
debit,1,,
heavenly,2,,
tannery,1,,
ro,1,,
decision-making,1,,
linear,3,,
lecherous,1,,
little,916,dimension,0.413571428571429
free,44,other,0.320666666666667
standard,12,,
small,547,dimension,0.513
opulent,2,,
chromosomal,1,,
wanted,1,,
greasy,1,,
enormous,21,,
shaggy,1,,
inexpensive,1,,
cosmic,2,,
shush,1,,
harrogate,1,,
lousy,1,,
speedy,4,speed,0.660909090909091
knobby,1,,
tempting,1,,
home-made,1,,
pro-sentence,1,,
loud,3,physical,0.48
recite,1,,
enraged,1,,
industrial,51,,
wasp,1,,
poofy,1,,
primary,16,,
philosophical,5,,
warped,1,,
delicious,4,value,0.789285714285714
comic,1,,
electronic,5,,
masted,1,,
bottom-up,1,,
feathery,1,,
tor,1,,
top,27,location,0.135714285714286
ingen,1,,
euphoric,1,,
imperial,4,,
intermediate,2,,
listed,2,,
hypothetical,2,,
airy,1,,
bitter,3,,
damaging,1,,
tri-glossic,1,,
urban,24,,
waiting,1,,
illiterate,1,,
gym,1,,
esoteric,1,,
direct,19,,
elec,1,,
western,18,location,0.350714285714286
sulphur,3,,
peculiar,4,,
flightless,1,,
past,49,temporal,0.277692307692308
bloated,1,,
likely,4,,
aztec,1,,
final,26,temporal,0.2375
idle,1,,
crickl,1,,
historical,8,,
spoiled,1,,
devious,1,,
finan,1,,
brilliant,26,value,0.68625
desperate,3,,
mini,2,,
rac,1,,
modern,56,,
skinless,1,,
whatsit,1,,
all-time,1,,
telly,1,,
leafy,2,,
puritanical,1,,
genuine,10,,
laden,1,,
convenient,3,,
responsible,3,,
isolated,1,,
thorough,2,,
metallic,5,,
recommended,1,,
amusing,1,,
swims,1,,
conducive,1,,
even,5,other,0.427142857142857
6500rpm,1,,
debonair,1,,
regular,26,value,0.651111111111111
unorthodox,1,,
grave,2,,
by-pass,2,,
doo,2,,
mushy,3,,
medical,29,other,0.3
greased,1,,
rotary,3,,
ickle,4,,
orderly,1,,
tech,1,,
nineteenth,7,,
mid-range,1,,
fitted,5,,
advisory,5,,
prim,1,,
broadsheet,1,,
random,7,,
sexist,1,,
padded,2,,
chartered,3,,
queer,3,,
lethal,1,,
subtle,4,,
effi,1,,
priv,1,,
busy,17,other,0.683333333333333
proposed,9,,
hoary,4,,
quaint,4,,
celery,1,,
on-screen,1,,
knuckle,1,,
liquified,1,,
rich,29,,
wizened,4,,
adequate,6,,
palish,1,,
day-by-day,1,,
de,2,,
preferred,7,,
tracery,1,,
force-fit,1,,
fly-drive,1,,
frying,1,,
nasty,16,value,0.757142857142857
time-structured,1,,
dog-eared,1,,
bas,2,,
self-employed,1,,
public,75,,
bad,159,value,0.71625
bab,1,,
bac,1,,
grilled,2,,
cocky,2,,
automatic,6,,
lovat,1,,
scrubbed,1,,
atomic,1,,
ethical,1,,
mandatory,2,,
fair,32,human,0.634166666666667
fluffy,6,physical,0.573333333333333
roasted,1,,
infectious,2,,
demented,1,,
horrendous,2,,
corrupt,2,,
sporadic,1,,
anti-chinese,1,,
best,19,,
subject,6,,
pastel,1,,
inappropriate,2,,
unpainted,2,,
light-proof,1,,
sail,1,,
gentleman,2,,
artificial,3,,
mug,1,,
oedipal,1,,
mum,6,,
tax-back,1,,
lazy,4,human,0.600714285714286
sub-heading,1,,
nationwide,1,,
rolled,1,,
weak,8,,
wh,2,,
old-time,1,,
devout,1,,
linkage,1,,
mucky,2,,
anti-union,1,,
irregular,2,,
favourable,2,,
country,1,,
ill,6,,
unemploy,1,,
slinky,1,,
jelly,2,,
disastrous,2,,
pecuniary,1,,
shoul,1,,
con,2,,
two-screen,2,,
mozambiquan,1,,
tough,29,,
incorrupt,2,,
hardworking,1,,
incessant,1,,
hers,1,,
somerfield,1,,
tony,1,,
diff,1,,
blonde,15,,
organisational,1,,
bureaucratic,4,,
tasted,1,,
petty,1,,
regimented,4,,
tiny,144,dimension,0.414444444444444
engined,1,,
much,45,,
detrimental,1,,
basic,38,,
expected,1,,
flexible,1,,
lovely,113,,
incompetent,2,,
vanable,1,,
dry,18,physical,0.3375
graphical,1,,
deeper,1,,
eastern,10,,
uncommon,1,,
decrepit,1,,
pejorative,1,,
chili,1,,
comfortable,14,,
hand-out,1,,
gracious,5,human,0.65375
unpopular,1,,
gritty,1,,
sly,2,,
reddish,5,,
footboar,1,,
rutting,1,,
self-propelled,1,,
excited,1,,
