age,color,material,value,shape,dimension,physical,other,location,nationality,speed,human,temporal
young,yellow,wooden,awful,round,tubby,dry,glitzy,far,Chinese,quick,sleepy,past
ripe,brown,plastic,brilliant,oval,fat,sharp,exact,western,French,instant,sorry,next
new,blue,iron,fantastic,square,narrow,hard,bubbly,front,Mexican,slow,brave,late
ancient,golden,wool,awesome,squiggly,flat,rough,organic,south,Dutch,fast,angry,third
teenage,tan,silk,okay,,thin,damp,busy,east,American,speedy,live,final
old,pink,concrete,good,,huge,wet,natural,side,English,,clever,first
fresh,green,haired,nasty,,itsy,soft,fake,upstairs,,,mean,last
,orange,,bad,,tall,smooth,sore,left,,,vicious,early
,silver,,horrid,,podgy,crunchy,pretend,back,,,naughty,second
,red,,horrible,,small,warm,obvious,bottom,,,dumb,
,white,,nice,,long,hot,bumpity,central,,,stupid,
,grey,,poor,,chubby,cold,formal,polar,,,wicked,
,gold,,alright,,thick,fuzzy,messy,high,,,maternal,
,black,,great,,little,heavy,pokey,low,,,jolly,
,gray,,grand,,weeny,bumpy,personal,glottal,,,gentle,
,tawny,,crummy,,giant,fluffy,darned,meadow,,,innocent
,pale,,odd,,eensie,salty,free,close,,,crazy
,purple,,weird,,teeny,hollow,even,top,,,healthy
,faint,,yucky,,tiny,empty,double,,,,dead
,bright,,dandy,,wee,waterproof,choice,,,,gloomy
,dark,,wrong,,big,slippery,whole,,,,silly
,clear,,perfect,,itty,crisp,naked,,,,goofy
,wan,,nifty,,weensie,dense,steady,,,,hungry
,,,special,,bitsy,full,medical,,,,sad
,,,pathetic,,teensie,sweet,trick,,,,merry
,,,correct,,wide,fragile,stinky,,,,attentive
,,,cute,,large,crooked,horned,,,,gracious
,,,regular,,gigantic,strong,ready,,,,whiny
,,,fancy,,short,cool,different,,,,dizzy
,,,comfy,,open,misshapen?,same,,,,cross
,,,right,,trim,spicey,musical,,,,cranky
,,,exciting,,skinny,clean,real,,,,fierce
,,,super,,,dirty,wiggly,,,,human
,,,illustrious,,,shiny,wriggly,,,,lazy
,,,cozy,,,bald,verbal,,,,greedy
,,,gorgeous,,,delicate,own,,,,vain
,,,beautiful,,,squeaky,head,,,,smart
,,,precious,,,steep,TRUE,,,,happy
,,,delicious,,,sparkly,sick,,,,grouchy
,,,yummy,,,light,roundabout,,,,smiley
,,,tidy,,,loud,still,,,,royal
,,,pretty,,,quiet,spare,,,,fair
,,,handy,,,slick,part,,,,grumpy
,,,plain,,,,fellow,,,,mad
,,,ugly,,,,undercover,,,,wise
,,,bonnie,,,,multiple,,,,kind
,,,dulcet,,,,,,,,sneaky
,,,dear,,,,,,,,famous
,,,junk,,,,,,,,
,,,scary,,,,,,,,
,,,proper,,,,,,,,
,,,rotten,,,,,,,,
,,,poop,,,,,,,,
,,,strange,,,,,,,,
,,,posh,,,,,,,,
,,,wild,,,,,,,,
,,,fun,,,,,,,,
,,,neat,,,,,,,,
,,,just,,,,,,,,
