adj,freq
chinese,2
excellent,3
yellow,1
cheerful,1
lacy,1
religious,2
uneven,1
vietnamese,1
young,5
busy,1
horror,1
fat,2
every,1
exact,3
minute,1
entire,1
wooden,2
large,10
solid,1
judicial,2
small,9
upper,1
humongous,1
unexpected,1
portable,2
japanese,1
past,8
elegant,1
second,1
dried,2
roomy,1
folk,1
blue,6
slight,1
brief,2
current,1
waiting,1
gubernatorial,1
resilient,1
new,13
public,8
full,4
french,1
outlying,1
knobby,1
strong,3
great,18
naval,1
dusty,1
elaborate,2
social,10
military,4
weird,1
narrow,1
golden,1
fantastic,1
useful,1
extra,1
private,4
moral,2
total,1
positive,1
spiky,1
negative,1
next,4
few,49
live,1
overhead,1
gorgeous,1
type,1
flat,3
standardized,1
biblical,1
acceptable,1
warm,1
particular,2
rare,1
instinctual,1
sour,1
obvious,1
thin,2
beautiful,2
crazy,4
high,12
minimum,1
salty,1
native,1
huge,7
educational,1
productive,1
comfortable,2
varied,1
vital,1
absolute,1
circular,1
sunny,1
rinky,1
different,26
modest,1
mad,1
ethnic,1
floral,1
such,10
short,4
natural,1
third,1
light,1
green,6
frequent,1
tall,1
democratic,1
cute,3
mexican,3
developed,1
playful,1
statistical,1
staunch,1
cardiovascular,1
texan,1
curly,1
personal,6
interesting,1
encapsulated,1
permanent,1
compensatory,1
hidden,1
main,4
argentine,1
good,44
safe,1
half,1
front,2
wanton,1
presidential,1
structural,1
token,1
reasonable,2
prevailing,1
heavy,1
square,1
financial,4
mental,2
hard,2
investigative,1
navy,1
sexual,2
special,5
southerly,1
open,1
looking,2
red,3
pleasant,1
retained,1
inexpensive,1
cosmic,1
american,6
speedy,1
hopeless,1
south,4
first,9
major,9
powerful,2
fancy,2
traveled,1
philosophical,1
oddball,1
simplified,1
fast,1
effortless,1
thick,2
electronic,1
little,97
unknown,1
wonderful,7
airy,1
white,10
painful,1
urban,1
floppy,1
postgraduate,1
immediate,1
western,5
wide,2
dinky,1
rival,1
victorian,2
silly,1
historical,2
spoiled,1
treated,1
procedural,1
mini,1
false,1
left-handed,1
prestigious,1
catholic,1
genuine,1
convenient,1
ideal,1
internal,1
blunt,1
conducive,1
experienced,1
electric,2
normal,4
regular,5
sturdy,1
average,1
traditional,2
tech,1
clean,1
professional,2
senior,1
hyper,1
humid,1
gold,1
random,2
crocheted,1
parochial,1
subtle,3
rough,1
giant,1
slow,1
unfinished,1
quaint,1
rotten,2
corduroy,1
only,9
black,4
central,1
rich,1
local,6
designated,1
bean,1
international,1
frying,1
prime,1
progressive,1
violent,1
bad,5
common,1
ethical,1
mandatory,1
fair,1
national,4
individual,1
agricultural,2
inappropriate,1
federal,1
enough,1
various,5
previous,2
latin,2
faceless,1
parental,1
weak,1
spare,1
last,25
many,37
quiet,1
foreign,2
long-term,1
whole,21
tough,1
simple,2
sweet,2
habitual,1
migrant,1
blonde,2
postnatal,1
monthly,1
decent,1
political,4
tiny,11
much,1
damn,1
lovely,1
eastern,3
orchestral,1
sad,1
present,1
criminal,1
reddish,1
frozen,1
plain,2
raspy,1
ugly,1
entrepreneurial,2
neat,2
country,1
fun,1
metropolitan,1
middle,3
phosphorous,1
everyday,2
funny,2
lengthy,1
same,11
strange,3
several,13
european,1
nightly,1
recent,1
canned,1
perennial,1
hispanic,1
english,3
overcrowding,1
ludicrous,1
domestic,2
lavish,1
civilized,2
human,1
weekly,1
old-time,1
residential,1
potential,1
attractive,1
easy,1
wet,1
east,1
real,10
big,56
early,3
historic,1
logical,1
facial,1
unique,1
advanced,1
gifted,1
manual,1
specific,2
popular,2
italian,3
mathematical,1
old,24
classical,1
dead,1
elitist,1
redeeming,1
gross,3
aerobic,3
electromagnetic,1
legal,1
creative,1
sweatless,1
scientific,1
intimate,1
wayward,1
overall,1
defensive,1
exciting,1
super,1
actual,2
favorite,3
practical,1
beige,1
mixed,2
shiny,1
bitty,10
own,15
civil,2
female,1
sized,1
additional,1
weathered,1
creamy,1
long,7
tame,1
strict,1
low,2
homemade,1
brazilian,1
spicy,1
north,1
complete,4
sophisticated,1
heinous,1
elderly,1
automated,1
true,1
junior,6
baptist,1
smooth,1
dirty,1
similar,1
medical,2
detailed,2
liberal,2
worthwhile,1
certain,5
deep,2
single,5
diverse,1
physical,1
screechy,1
incredible,2
other,50
cutthroat,1
nice,20
poor,1
important,2
skinny,1
oral,1
memorial,1
daily,1
purple,2
broad,1
serious,2
backward,1
baked,1
original,2
