class,mean,CI1,CI2,N,label
temporal,0.25,0.071428571428571425,0.39285714285714285,28,"child-directed, 2-4, not binned"
color,0.064814814814814811,0.032407407407407406,0.097222222222222224,216,"child-directed, 2-4, not binned"
age,0.098591549295774641,0.028169014084507043,0.16901408450704225,71,"child-directed, 2-4, not binned"
material,0.0,0.0,0.0,3,"child-directed, 2-4, not binned"
value,0.83924843423799578,0.80167014613778709,0.86847599164926936,479,"child-directed, 2-4, not binned"
shape,0.0,0.0,0.0,4,"child-directed, 2-4, not binned"
other,0.66666666666666663,0.5,0.77083333333333337,48,"child-directed, 2-4, not binned"
location,0.1875,0.0,0.375,16,"child-directed, 2-4, not binned"
human,0.79166666666666663,0.625,0.875,48,"child-directed, 2-4, not binned"
nationality,0.40000000000000002,0.10000000000000001,0.59999999999999998,10,"child-directed, 2-4, not binned"
speed,0.0,0.0,0.0,1,"child-directed, 2-4, not binned"
dimension,0.45632798573975042,0.41354723707664887,0.49554367201426025,561,"child-directed, 2-4, not binned"
physical,0.28421052631578947,0.18947368421052632,0.36842105263157893,95,"child-directed, 2-4, not binned"
temporal,0.5,0.0,0.66666666666666663,6,"child-produced, 2-4, not binned"
color,0.25333333333333335,0.16,0.34666666666666668,75,"child-produced, 2-4, not binned"
age,0.2857142857142857,0.14285714285714285,0.42857142857142855,35,"child-produced, 2-4, not binned"
material,0.0,0.0,0.0,1,"child-produced, 2-4, not binned"
value,0.65432098765432101,0.53086419753086422,0.7407407407407407,81,"child-produced, 2-4, not binned"
shape,0.0,0.0,0.0,1,"child-produced, 2-4, not binned"
other,0.57692307692307687,0.34615384615384615,0.73076923076923073,26,"child-produced, 2-4, not binned"
location,0.0,0.0,0.0,4,"child-produced, 2-4, not binned"
human,0.7142857142857143,0.42857142857142855,0.8571428571428571,21,"child-produced, 2-4, not binned"
nationality,0.0,0.0,0.0,1,"child-produced, 2-4, not binned"
speed,0.0,0.0,0.0,1,"child-produced, 2-4, not binned"
dimension,0.5982142857142857,0.5267857142857143,0.65625,224,"child-produced, 2-4, not binned"
physical,0.25,0.11363636363636363,0.36363636363636365,44,"child-produced, 2-4, not binned"
