age,color,material,value,shape,dimension,physical,other
old,yellow,wooden,nasty,round,giant,soft,cute
dead?,black,concrete,good,,wee,hard?,just
rotten,orange,,horrible,,wide,dry?,cheese
new,brown,,awful,,big,damp,sleepy
ole?,gray,,bad,,fat,wet,bright
fresh,blue,,horrid,,eensie,sharp,naughty
,purple,,great,,teeny,,through
,red,,awesome,,small,,same
,white,,nice,,weensie,,skin
,grey,,poor?,,tiny,,loll
,pink,,grand,,little,,wriggle
,green,,,,long,,busy
,,,,,thin,,chinese
,,,,,huge,,creep
,,,,,itsy,,pretty
,,,,,bitsy,,sweet
,,,,,teensie,,smile
,,,,,tall,,real
,,,,,weeny,,return
,,,,,,,dark
,,,,,,,bit
,,,,,,,tick
,,,,,,,handy
,,,,,,,cool
,,,,,,,fluff
,,,,,,,stupid
,,,,,,,quick
,,,,,,,side
,,,,,,,mean
,,,,,,,heavy
,,,,,,,upstairs
,,,,,,,polar
,,,,,,,bump
,,,,,,,back
,,,,,,,hair
,,,,,,,glottal
,,,,,,,dear
,,,,,,,special
,,,,,,,wonder
,,,,,,,sun
,,,,,,,jolly
,,,,,,,dutch
,,,,,,,full
,,,,,,,posh
,,,,,,,dirt
,,,,,,,fuzz
,,,,,,,french
,,,,,,,merry
,,,,,,,strong
,,,,,,,super
,,,,,,,last
,,,,,,,american
,,,,,,,yum
,,,,,,,whole
,,,,,,,first
,,,,,,,beautiful
,,,,,,,own
,,,,,,,love
,,,,,,,point
,,,,,,,scrub
,,,,,,,open
,,,,,,,top
,,,,,,,next
,,,,,,,live
,,,,,,,quiet
,,,,,,,angry
,,,,,,,happy
,,,,,,,shine
,,,,,,,head
,,,,,,,clever
,,,,,,,yuck
,,,,,,,brand
,,,,,,,sore
,,,,,,,western
,,,,,,,bum
,,,,,,,crawl
,,,,,,,bounce
,,,,,,,jump
,,,,,,,plain
,,,,,,,ugly
,,,,,,,silly
,,,,,,,fun
,,,,,,,dumb
,,,,,,,wicked
,,,,,,,trim
,,,,,,,stink
,,,,,,,flop
,,,,,,,wild
,,,,,,,dandy
,,,,,,,juice
,,,,,,,fashioned
,,,,,,,ready
,,,,,,,crash
,,,,,,,craze
,,,,,,,different
,,,,,,,cross
,,,,,,,snot
,,,,,,,hot
,,,,,,,sick
,,,,,,,smell
,,,,,,,soap
,,,,,,,even
,,,,,,,mess
,,,,,,,pokey
,,,,,,,smiley
,,,,,,,rain
,,,,,,,wrong
,,,,,,,jumping
,,,,,,,noise
,,,,,,,squeak
,,,,,,,light
,,,,,,,cheek
,,,,,,,steady
,,,,,,,hungry
,,,,,,,clean
,,,,,,,egg
