adj,freq
pasteboard,1
crumpled,1
drudgy,1
customary,2
astonishing,2
remarkable,4
peacock,1
defenceless,1
magnetic,1
particular,4
yellow,130
sleek,3
turbocharged,1
continual,1
thoughtful,1
soppy,2
controversial,9
dainty,1
lacy,1
abundant,1
vascular,1
dreadful,1
venerated,1
unforseen,1
nutty,1
draughty,2
pummelled,1
young,7
sparkling,3
unstinting,1
unpleasant,2
knackered,2
stable,1
fatal,1
hideous,1
friendly,3
methodical,1
brown,273
protective,1
ministerial,1
50mb,1
unsold,1
very,171
scattered,1
panting,1
fat,7
shrivelled,1
wavy,1
anonymous,1
awful,6
winning,1
cobalt,1
continued,1
feeble,2
vast,19
wily,3
cheerful,5
ironed,1
impressive,7
wooden,247
shambling,1
fragile,1
fewer,4
large,62
flashy,1
greenish,1
small,429
poppy,1
throbbing,1
socialist,1
unsatisfied,1
brave,16
faintest,1
tired,13
rickety,8
cultured,1
lightest,1
obsolete,1
past,2
elegant,9
second,8
fabulous,4
worn,1
further,8
bacterial,1
acid,1
odd,6
aggressive,1
cosy,1
irritated,1
blue,275
mammalian,1
stately,1
ugly,10
trivial,1
coppery,1
cynical,1
current,1
rotten,12
volatile,1
undecided,1
flowing,1
pristine,1
new,1075
net,2
everlasting,1
public,5
unruly,1
pioneering,5
full,4
greediest,1
funking,1
loose,3
commercial,1
sparky,1
french,2
tumbledown,1
smartest,1
inverse,1
eerie,1
jade,2
decipher,1
sexy,3
buy,1
strong,11
enterprising,1
implicit,1
extreme,3
dry,8
great,72
incoming,1
embossed,1
brilliant,17
elaborate,1
larger,2
miniature,2
resulting,1
milky,1
complicated,1
weird,1
suitable,5
doleful,1
snobby,2
elongated,1
glittering,1
golden,3
fantastic,4
flavourful,1
nearest,1
reawakened,1
private,2
bloody,38
sacrilegious,1
hardy,5
chunky,1
snug,1
incontinent,1
total,2
vital,2
gaping,1
staid,1
conventional,2
earliest,1
vivid,7
working,1
senile,2
spiky,2
pious,1
next,18
occupying,1
few,112
live,4
pigalle,1
cheeky,2
irrepressible,1
gorgeous,3
mysterious,4
inner,1
leaky,1
more,39
blotchy,1
flat,9
grandest,1
clever,2
plaited,1
successful,5
obtrusive,1
acceptable,1
credulous,1
phony,1
charming,5
sore,2
weathershield,1
warm,7
excellent,10
olive,1
actual,3
mellow,1
given,1
producing,1
opaque,2
glad,1
sequined,1
unrivalled,1
arched,1
heavyweight,1
incited,1
irritable,1
cooler,1
unfailing,2
inflamed,1
tne,1
flaking,1
sour,3
thin,13
following,3
male,6
beautiful,31
stubborn,2
crazy,2
practical,2
mowing,1
mauled,1
sunlit,1
slim,3
confused,2
contented,1
high,10
inlaid,2
battered,8
sharp,4
cultivate,1
native,1
pink,1
huge,61
respective,2
curving,1
unexpected,1
daring,1
decaying,1
picturesque,7
needy,3
secured,1
unvoluptuous,1
innumerable,2
redoubtable,1
hot,6
varnished,1
disgusting,3
adjacent,2
toxic,1
ordinary,7
absolute,1
intelligent,1
irascible,1
dignified,2
hopeless,1
watery,1
yellowish,1
thee,1
incorporated,1
rude,2
aspiring,1
overall,1
eighty,1
vicious,2
demanding,1
feathery,1
pathetic,2
permanent,2
indomitable,2
mad,4
coming,1
such,87
authentic,2
compulsory,1
psychedelic,1
harsh,2
short,155
natural,4
splendid,11
third,3
downhome,1
light,19
lame,1
carotenoid,1
crippling,1
fictional,2
green,230
frequent,3
fundamental,1
african,1
tall,11
crafty,3
typical,5
drunken,1
blind,1
breaking,3
mexican,2
lighter,2
enraged,1
creamy,1
proverbial,1
installed,1
disabled,1
sickly,1
genteel,1
enclose,1
ghastly,3
left,1
demented,1
staunch,2
cold,8
brittle,1
freckled,1
perfect,7
crabby,1
thrilling,1
curly,4
interesting,9
torn,1
ample,1
glowing,4
nostalgic,1
better,1
harmless,2
poxy,1
bottled,1
compelling,2
orange,1
main,3
admirable,1
cornflower,1
good,454
pure,7
entire,5
indefatigable,1
chelsea,1
lumbering,1
largest,3
runny,1
grubby,1
tinned,1
stout,3
emerald,6
transparent,2
bigger,1
gimmicky,1
bony,1
several,91
double,2
respectable,1
fixed,1
preferable,1
streaky,1
marvellous,4
delightful,4
warped,1
reasonable,1
boisterous,2
inherent,1
exquisite,3
liberating,2
heavy,13
bulbous,1
dour,2
square,40
financial,1
restless,1
abrasive,1
fluted,1
hard,135
neolithic,1
engaging,1
boiled,9
thirteen,1
jagged,1
ubiquitous,1
inflated,1
comic,1
special,5
living,1
trusty,2
enjoyable,1
lank,1
haired,1
peerless,1
strorny,1
jolly,20
6800rpm,1
comprehensive,2
heavenly,1
benevolent,1
tiresome,1
150th,1
correct,1
red,339
turgid,1
painless,1
solvent,2
wiry,2
demure,1
unwieldy,1
roughened,1
parched,1
humiliating,1
sheer,5
free,1
quite,1
pleasant,3
extraordinary,3
unfriendly,1
lucrative,3
brightest,3
latest,5
put,1
convincingly,1
inevitable,1
greasy,1
revolutionary,4
enormous,5
shaggy,1
featureless,1
norwegian,1
terrible,3
british,2
round,2
conflicting,1
presumptive,1
american,4
discredited,1
massive,9
tempting,1
stalinist,1
unpainted,2
parallel,1
retail,1
loud,1
narrow,5
first,56
recite,1
prospective,5
major,50
finest,2
impossibly,2
striking,2
radical,8
powerful,10
encouraging,6
fancy,2
infinite,2
smaller,4
fast,2
ethereal,1
robust,2
bland,1
rind,1
thick,26
bucketing,1
open,2
reliable,1
little,83
ancient,3
fascinating,3
likely,1
unwashed,1
murky,1
tougher,1
euphoric,1
heady,1
plastic,33
flimsy,1
wonderful,6
tragic,1
terrifying,1
fiery,1
grimy,1
fortuitous,1
white,8
inclined,1
infuriating,1
final,4
painful,2
grated,2
tattered,4
vigorous,1
canned,1
floppy,1
bobbed,1
continuous,2
nct,1
dreary,2
direct,1
environmental,1
ridiculous,1
western,2
quirky,1
evil,2
elusive,1
inestimable,1
overwhelming,1
clumsy,1
vague,1
flightless,1
wide,9
glamorous,2
rugged,1
liquid,1
straggling,1
stripped,1
boring,8
burnish,1
outrageous,1
appealing,2
future,3
silly,18
glossy,9
snazzy,1
silky,2
gigantic,1
restful,1
distinguished,3
sublime,2
risky,1
ingenious,3
imaginative,1
humble,1
false,1
recalcitrant,1
sumptuous,1
half,1
modern,4
skinless,1
swanky,1
comfortable,7
raw,2
substantial,5
unlikely,3
qualitatively,1
treasured,1
leafy,2
helpless,1
vulnerable,1
saintly,1
squat,1
reassuring,1
sanctimonious,1
unsuitable,2
colourful,2
able,1
impotent,1
metallic,2
terrific,4
moist,1
ideal,1
potential,8
useless,1
frail,5
swims,1
singular,1
kendal,1
even,2
experienced,1
electric,2
spangled,1
normal,2
petrol,1
everdeveloping,1
6500rpm,1
debonair,1
most,37
fangled,1
regular,5
significant,10
successive,2
gilt,1
odorous,1
monosyllabic,1
greyish,1
horrid,2
surprising,2
sturdy,3
alaskan,2
clear,17
proud,1
steady,1
mulberry,1
km,1
utmost,2
traditional,4
charitable,1
perceiving,1
prickly,1
clean,5
forlorn,1
stubby,1
innocent,1
pretty,4
technical,1
precise,1
seasonal,1
selected,1
impish,1
cute,2
blended,1
cheap,7
contemporary,1
unfathomable,1
padded,1
antiquated,1
bright,81
chiselled,1
malignant,1
queer,1
velvety,1
utter,1
rough,7
fine,22
requisite,1
gilded,1
giant,3
busy,1
hoary,4
quaint,3
nervous,2
stained,3
mug,1
unhappy,1
dull,7
celery,1
only,20
black,9
central,3
rich,18
wizened,4
various,14
constant,3
luxuriant,1
local,10
plump,1
abused,1
hir,1
palish,1
cantankerous,1
exceptional,4
familiar,7
de,1
sunny,1
lucky,2
preferred,1
speckled,1
famous,16
celebrated,2
hollow,2
international,1
discreet,1
nasty,2
domestic,1
endless,1
prime,1
stitching,1
contagious,1
whilst,1
silty,1
crabbed,1
unfamiliar,1
worried,2
naked,1
bad,108
stupid,3
spiked,1
raunchy,1
grilled,2
finishing,1
paradoxical,1
lovat,1
scrubbed,1
bulky,2
revealing,1
daffodil,1
scruffy,1
fair,6
fluffy,1
innovative,2
richer,1
succulent,1
individual,4
bare,8
enhanced,1
recoverable,1
corrupt,1
miserable,3
luminous,2
forthcoming,3
best,19
encouraged,2
crunching,1
tatty,2
exemplary,2
unsettling,1
distinctive,7
monstrous,1
southward,1
artificial,1
superb,7
enough,1
myriad,2
arrogant,1
horrible,5
boyish,2
refreshing,1
numerous,16
supposed,2
available,1
subversive,1
unsavoury,1
spartan,1
weak,1
weary,1
characteristic,1
phoney,1
faithful,1
competent,1
outer,5
precious,2
uncompleted,1
swift,1
bedraggled,1
steep,1
blummin,2
observable,1
gruff,1
last,25
speckledy,1
gingery,1
favourable,1
many,214
rutting,1
quiet,3
amazing,1
insidious,1
busted,2
artificialsounding,1
canary,1
whole,61
glorious,4
nearby,2
capable,1
loveliest,1
crustless,1
tough,17
luxurious,1
simple,8
sweet,7
dim,1
genial,2
incessant,1
steely,3
baleful,1
somerfield,1
frosty,1
scottish,2
unassuming,1
associated,1
bizarre,3
guid,1
crispy,1
expensive,7
flourishing,2
startling,5
unusual,4
yellowed,1
rusty,2
bitter,1
muddy,2
swb,1
political,1
dazzling,5
tiny,52
disturbing,2
tropical,1
confident,1
much,5
extravagant,1
coarse,1
basic,2
flexible,1
hottest,2
lovely,35
infectious,1
empty,2
rosy,1
firm,1
affectionate,1
heaviest,1
general,6
deeper,1
devilish,1
received,1
sufficient,2
lushly,1
dramatic,1
external,2
quick,1
fellow,1
former,2
present,4
gracious,2
unpopular,1
intriguing,1
heavier,1
toothless,1
lecherous,1
reddish,4
prestigious,1
solid,11
plain,15
straight,5
pungent,1
gibbering,1
excited,1
dusty,4
stunning,7
slam,1
neat,3
promising,3
wild,18
extinct,1
ultra,1
smoky,2
sombre,1
identical,1
prosy,1
ripe,6
40mb,1
sincere,1
garrulous,1
lush,7
sacred,1
respected,1
sudden,3
lightweight,1
ie,1
bounteous,1
lunatic,2
grown,2
funny,19
different,3
grandiose,1
shimmering,2
bilious,1
gentle,2
creaky,1
same,60
delicious,3
strange,18
sensual,1
grand,26
itchy,1
glaring,1
sodden,1
european,2
independent,3
bearded,4
material,2
temporary,1
reactionary,1
abandoned,1
collective,1
eccentric,5
productive,1
bald,3
greased,1
opulent,2
bullying,1
average,2
brooding,1
puritanical,1
widespread,1
delicate,11
fierce,3
genuine,4
impeccable,1
recent,8
early,3
swish,1
steerable,1
older,1
jewish,1
anxious,2
incredible,2
damn,2
disoriented,1
ragged,6
hearty,1
greatest,3
convenient,1
grumpy,1
usual,7
rheumy,2
lb,1
stringent,2
excessive,1
vindictive,1
proposed,7
less,5
athletic,1
exotic,1
accurate,1
ramshackle,2
sleepy,1
valuable,3
reputably,1
slimy,1
reputable,1
preservable,1
human,1
roasted,1
upturned,1
brisk,1
cabaret,1
scattering,1
previous,2
cloudless,1
generous,1
unspecified,1
endangered,1
cherry,2
extra,10
inquisitive,1
fitting,2
patching,1
handy,1
attractive,11
easy,1
ghostly,1
diced,1
extensive,3
debatable,1
remaining,1
smart,14
real,27
scatty,1
crusty,2
definitive,1
spectacular,3
big,283
possible,12
livid,1
dark,85
gnarled,8
historic,1
indecently,1
darn,1
thatcherite,1
hibernating,1
crisp,3
unique,3
disappointed,2
grim,2
bushy,1
prominent,1
sensational,4
leguminous,1
necessary,1
like,9
improbable,1
harmonising,1
vibrant,1
cool,1
unnecessary,1
unsuspecting,1
collect,1
serious,1
cutting,1
reinterpreting,1
stylish,2
repressed,1
soft,91
healthy,3
italian,2
antique,1
satisfactory,1
right,4
old,1044
shabby,5
fucking,2
choreographing,1
deaf,2
back,1
alive,1
existing,2
padlocked,1
countless,4
mighty,1
mixed,1
proper,2
faint,2
7400rpm,1
pale,36
stuffy,1
corrugated,1
specific,3
nonagenarian,1
dense,1
fourth,3
purple,37
broad,2
humorous,1
separate,3
lean,3
legal,1
conservative,1
communist,1
appreciative,1
critical,2
bureaucratic,3
sliced,3
ornate,3
fit,1
active,1
minimal,1
curvaceous,2
matching,1
eating,2
bold,3
posh,2
intimate,1
11m,1
equivalent,1
decorative,1
unopened,1
broken,1
viticultural,1
2m,2
hereby,1
exciting,28
super,2
intense,3
slatted,4
rare,6
impenetrable,1
sinister,1
weatherbeaten,1
greater,1
essential,4
gentler,1
distinct,1
speedier,1
smouldering,1
dotty,2
wrinkled,4
mean,3
shiny,11
damp,1
youthful,5
homogeneous,1
primitive,1
own,74
polished,5
rediscovering,1
drab,1
emotive,1
functional,1
dishevelled,2
hinged,1
down,1
rolling,3
adventurous,1
smelly,2
lively,3
national,1
formidable,1
refined,1
methylene,1
mere,1
wartime,2
sentimental,1
sad,4
additional,4
weathered,2
classically,1
costly,1
initial,1
statutory,1
long,299
baggy,2
continental,1
strict,2
lonely,8
low,3
biggest,3
subsequent,4
dogged,1
happy,3
medium,3
complete,6
cylindrical,1
proportionately,1
magnificent,6
peaceful,1
azure,2
sophisticated,1
repeated,1
uncharacteristic,1
upright,2
helpful,1
highest,1
true,4
considerable,3
belated,1
handsome,7
groovy,1
misty,1
wise,13
urgent,1
dangerous,4
largish,1
smooth,29
nutcrackery,1
triumphant,1
considered,1
cruel,1
dirty,24
wicked,4
similar,4
starchy,1
darker,2
irish,3
celestial,2
proved,1
untidy,1
exhausted,1
certain,9
wealthy,1
smudged,1
deep,34
sticky,3
trendy,1
single,18
diverse,1
acclaimed,1
curious,3
graceful,2
floating,1
whiskered,1
simplest,1
bombastic,1
marinated,1
selfish,3
recognizable,1
gay,1
celuform,1
deadly,2
sucking,1
buttonback,1
occasional,11
tight,4
other,186
sly,1
ambitious,2
puppy,1
upstart,1
nice,28
poor,55
incestuous,1
venerable,2
energetic,1
flaked,1
favourite,4
shredded,1
welcome,2
faintly,1
defrosted,1
funky,1
6m,1
important,12
recognise,2
fresh,77
dullest,1
perverse,1
formal,1
tailored,1
longer,2
corresponding,1
required,1
reconditioning,1
marbled,1
admiring,1
dilapidated,3
loyal,1
ideological,2
bankrupt,1
rural,1
chiming,1
talented,1
oral,1
original,8
bereaved,1
stringy,1
