class,mean,CI1,CI2,N,label
color,0.15625,0.11079545454545454,0.21022727272727273,352,"child-directed, 2-4, not binned"
age,0.59999999999999998,0.45000000000000001,0.76249999999999996,160,"child-directed, 2-4, not binned"
material,0.0,0.0,0.0,14,"child-directed, 2-4, not binned"
value,1.0140562248995983,0.95180722891566261,1.0843373493975903,498,"child-directed, 2-4, not binned"
shape,0.0,0.0,0.0,14,"child-directed, 2-4, not binned"
dimension,0.52018348623853206,0.48715596330275229,0.55045871559633031,1090,"child-directed, 2-4, not binned"
physical,0.18518518518518517,0.037037037037037035,0.33333333333333331,27,"child-directed, 2-4, not binned"
color,0.24242424242424243,0.17676767676767677,0.31818181818181818,198,"child-produced, 2-4, not binned"
age,0.22222222222222221,0.12345679012345678,0.34567901234567899,81,"child-produced, 2-4, not binned"
material,0.0,0.0,0.0,6,"child-produced, 2-4, not binned"
value,0.66265060240963858,0.57228915662650603,0.74698795180722888,166,"child-produced, 2-4, not binned"
shape,0.0,0.0,0.0,7,"child-produced, 2-4, not binned"
dimension,0.65337001375515813,0.61210453920220087,0.6946354883081155,727,"child-produced, 2-4, not binned"
physical,0.44444444444444442,0.16666666666666666,0.61111111111111116,18,"child-produced, 2-4, not binned"
dimension-age-physical,0.5231010180109632,0.48942834768989818,0.55677368833202823,1277,"child-directed, 2-4, binned"
value,1.0140562248995983,0.95381526104417669,1.0843373493975903,498,"child-directed, 2-4, binned"
shape-color-material,0.14473684210526316,0.10526315789473684,0.19473684210526315,380,"child-directed, 2-4, binned"
dimension-age-physical,0.60653753026634383,0.56658595641646492,0.64527845036319609,826,"child-produced, 2-4, binned"
value,0.66265060240963858,0.57228915662650603,0.74698795180722888,166,"child-produced, 2-4, binned"
shape-color-material,0.22748815165876776,0.16113744075829384,0.29857819905213268,211,"child-produced, 2-4, binned"
