class,mean,CI1,CI2,N,label
color,0.27083333333333331,0.125,0.4375,48,"child-directed, 4, not binned"
age,0.45454545454545453,0.22727272727272727,0.68181818181818177,22,"child-directed, 4, not binned"
material,0.0,0.0,0.0,2,"child-directed, 4, not binned"
value,0.82978723404255317,0.71276595744680848,0.92553191489361697,94,"child-directed, 4, not binned"
shape,0.0,0.0,0.0,2,"child-directed, 4, not binned"
dimension,0.49327354260089684,0.4170403587443946,0.56502242152466364,223,"child-directed, 4, not binned"
physical,0.20000000000000001,0.0,0.40000000000000002,5,"child-directed, 4, not binned"
color,0.33333333333333331,0.1111111111111111,0.59259259259259256,27,"child-produced, 4, not binned"
age,0.21739130434782608,0.043478260869565216,0.43478260869565216,23,"child-produced, 4, not binned"
value,0.68292682926829273,0.51219512195121952,0.78048780487804881,41,"child-produced, 4, not binned"
shape,0.0,0.0,0.0,1,"child-produced, 4, not binned"
dimension,0.61538461538461542,0.50427350427350426,0.70940170940170943,117,"child-produced, 4, not binned"
physical,0.0,0.0,0.0,2,"child-produced, 4, not binned"
dimension-age-physical,0.48399999999999999,0.41199999999999998,0.55200000000000005,250,"child-directed, 4, binned"
value,0.82978723404255317,0.71276595744680848,0.92553191489361697,94,"child-directed, 4, binned"
shape-color-material,0.25,0.11538461538461539,0.40384615384615385,52,"child-directed, 4, binned"
dimension-age-physical,0.54225352112676062,0.44366197183098594,0.63380281690140849,142,"child-produced, 4, binned"
value,0.68292682926829273,0.48780487804878048,0.78048780487804881,41,"child-produced, 4, binned"
shape-color-material,0.32142857142857145,0.10714285714285714,0.5714285714285714,28,"child-produced, 4, binned"
