adj,freq,sem_class,p/d
cute,22,other,child-directed
soggy,1,other,child-directed
just,12,other,child-directed
less,2,other,child-directed
true,1,other,child-directed
slippery,1,other,child-directed
sleepy,3,other,child-directed
slime,1,other,child-directed
yellow,34,color,child-directed
front,1,other,child-directed
bright,13,other,child-directed
own,6,other,child-directed
snot,1,other,child-directed
skin,5,other,child-directed
sleeved,1,other,child-directed
rough,2,physical,child-directed
loll,2,other,child-directed
bit,10,other,child-directed
perfect,1,other,child-directed
wriggle,1,other,child-directed
busy,1,other,child-directed
slop,1,other,child-directed
gold,3,color,child-directed
wee,8,dimension,child-directed
chatter,2,other,child-directed
point,1,other,child-directed
golden,1,color,child-directed
young,13,age,child-directed
handy,1,other,child-directed
late,5,other,child-directed
jam,1,other,child-directed
black,19,color,child-directed
whole,1,other,child-directed
pretty,67,other,child-directed
weensie,2,dimension,child-directed
orange,14,color,child-directed
sorry,1,other,child-directed
east,4,other,child-directed
smart,13,other,child-directed
real,40,other,child-directed
brown,61,color,child-directed
trim,1,other,child-directed
good,78,value,child-directed
waterproof,1,other,child-directed
big,375,dimension,child-directed
dutch,2,other,child-directed
fat,25,dimension,child-directed
albino,1,other,child-directed
dark,1,other,child-directed
awful,6,value,child-directed
looney,1,other,child-directed
nasty,4,value,child-directed
silver,2,color,child-directed
cool,4,other,child-directed
huff,1,other,child-directed
fluff,14,other,child-directed
ancient,1,age,child-directed
crisp,1,other,child-directed
wooden,5,material,child-directed
fragile,1,other,child-directed
correct,1,other,child-directed
bulge,1,other,child-directed
bad,26,value,child-directed
fuzz,5,other,child-directed
plain,1,other,child-directed
small,14,dimension,child-directed
chinese,1,other,child-directed
soft,11,physical,child-directed
round,9,shape,child-directed
mean,10,other,child-directed
heavy,5,other,child-directed
square,2,shape,child-directed
old,50,age,child-directed
ole,4,age,child-directed
polar,1,other,child-directed
chunk,1,other,child-directed
hard,3,physical,child-directed
back,3,other,child-directed
dead,2,age,child-directed
flip,3,other,child-directed
hair,1,other,child-directed
born,1,other,child-directed
noise,2,other,child-directed
dumb,1,other,child-directed
dear,2,other,child-directed
cold,2,other,child-directed
creep,2,other,child-directed
wonder,2,other,child-directed
blue,32,color,child-directed
sex,1,other,child-directed
eensie,2,dimension,child-directed
horrid,1,value,child-directed
purple,3,color,child-directed
sun,3,other,child-directed
crust,2,dimension,child-directed
thirst,1,value,child-directed
jolly,6,other,child-directed
teeny,14,dimension,child-directed
sparkle,2,other,child-directed
rotten,5,age,child-directed
stupid,2,other,child-directed
health,1,other,child-directed
horrible,2,value,child-directed
podgy,1,dimension,child-directed
new,45,age,child-directed
bird,1,other,child-directed
red,80,color,child-directed
crunch,2,other,child-directed
grease,2,other,child-directed
pathetic,1,other,child-directed
dirt,3,other,child-directed
proper,2,other,child-directed
use,1,other,child-directed
french,3,other,child-directed
vicious,1,other,child-directed
wild,2,other,child-directed
slow,1,other,child-directed
free,1,other,child-directed
merry,1,other,child-directed
strong,24,other,child-directed
super,1,other,child-directed
laze,1,other,child-directed
puss,1,other,child-directed
shine,14,other,child-directed
great,49,value,child-directed
last,16,other,child-directed
