adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,43,value,0.9767441860465116,0.787272727272727,2-4yo,child-directed
just,19,value,0.5789473684210527,0.60125,2-4yo,child-directed
slippery,1,physical,1.0,0.568888888888889,2-4yo,child-directed
dear,4,value,1.0,0.61,2-4yo,child-directed
sleepy,3,human,0.0,0.546,2-4yo,child-directed
yellow,96,color,0.07291666666666667,0.343333333333333,2-4yo,child-directed
front,3,location,0.0,0.254,2-4yo,child-directed
bright,37,color,0.43243243243243246,0.464,2-4yo,child-directed
rough,6,physical,0.3333333333333333,0.715,2-4yo,child-directed
perfect,1,value,1.0,0.493,2-4yo,child-directed
slow,2,speed,0.0,0.504285714285714,2-4yo,child-directed
gold,5,color,0.0,0.214166666666667,2-4yo,child-directed
wee,44,dimension,0.6590909090909091,0.762857142857143,2-4yo,child-directed
royal,1,human,1.0,0.4925,2-4yo,child-directed
young,62,age,0.04838709677419355,0.551538461538462,2-4yo,child-directed
handy,1,value,1.0,0.674166666666667,2-4yo,child-directed
late,21,temporal,0.9523809523809523,0.422307692307692,2-4yo,child-directed
black,57,color,0.017543859649122806,0.269,2-4yo,child-directed
pretty,203,value,0.9605911330049262,0.863333333333333,2-4yo,child-directed
weensie,8,dimension,0.5,0.763125,2-4yo,child-directed
orange,22,color,0.13636363636363635,0.301538461538462,2-4yo,child-directed
chinese,3,nationality,0.3333333333333333,0.12,2-4yo,child-directed
wool,13,material,0.0,0.287,2-4yo,child-directed
smart,16,human,0.625,0.596666666666667,2-4yo,child-directed
brown,145,color,0.034482758620689655,0.29875,2-4yo,child-directed
good,192,value,0.515625,0.78125,2-4yo,child-directed
waterproof,3,physical,0.0,0.192307692307692,2-4yo,child-directed
far,1,location,1.0,0.609473684210526,2-4yo,child-directed
big,872,dimension,0.6938073394495413,0.691666666666667,2-4yo,child-directed
dutch,2,nationality,0.0,0.383333333333333,2-4yo,child-directed
fat,26,dimension,0.0,0.619375,2-4yo,child-directed
dark,9,color,0.1111111111111111,0.315,2-4yo,child-directed
awful,21,value,1.0,0.641666666666667,2-4yo,child-directed
nasty,9,value,0.6666666666666666,0.757142857142857,2-4yo,child-directed
silver,3,color,0.0,0.251111111111111,2-4yo,child-directed
cool,13,physical,0.23076923076923078,0.678125,2-4yo,child-directed
wooden,40,material,0.0,0.255454545454545,2-4yo,child-directed
large,6,dimension,0.5,0.548181818181818,2-4yo,child-directed
bad,36,value,0.027777777777777776,0.71625,2-4yo,child-directed
stupid,4,human,1.0,0.6575,2-4yo,child-directed
small,51,dimension,0.7647058823529411,0.513,2-4yo,child-directed
soft,33,physical,0.48484848484848486,0.572222222222222,2-4yo,child-directed
round,27,shape,0.037037037037037035,0.23875,2-4yo,child-directed
mean,17,human,0.8235294117647058,0.712727272727273,2-4yo,child-directed
heavy,17,physical,0.058823529411764705,0.5725,2-4yo,child-directed
square,3,shape,0.0,0.384285714285714,2-4yo,child-directed
old,110,age,0.15454545454545454,0.646666666666667,2-4yo,child-directed
fluffy,38,physical,0.05263157894736842,0.573333333333333,2-4yo,child-directed
hard,9,physical,0.0,0.428181818181818,2-4yo,child-directed
back,5,location,0.4,0.297142857142857,2-4yo,child-directed
dead,2,human,0.0,0.14,2-4yo,child-directed
second,3,temporal,0.0,0.0675,2-4yo,child-directed
glottal,1,location,0.0,0.482,2-4yo,child-directed
proper,7,value,1.0,0.766666666666667,2-4yo,child-directed
cold,4,physical,0.25,0.69,2-4yo,child-directed
special,3,value,0.6666666666666666,0.68,2-4yo,child-directed
blue,101,color,0.18811881188118812,0.346666666666667,2-4yo,child-directed
eensie,4,dimension,1.0,0.7175,2-4yo,child-directed
purple,14,color,0.14285714285714285,0.2405,2-4yo,child-directed
jolly,40,human,1.0,0.675714285714286,2-4yo,child-directed
teeny,31,dimension,0.5483870967741935,0.531818181818182,2-4yo,child-directed
rotten,4,value,0.0,0.4425,2-4yo,child-directed
horrible,5,value,0.8,0.64,2-4yo,child-directed
podgy,1,dimension,0.0,0.67,2-4yo,child-directed
new,74,age,0.5540540540540541,0.265,2-4yo,child-directed
red,178,color,0.05056179775280899,0.174166666666667,2-4yo,child-directed
dirty,18,physical,0.5,0.504,2-4yo,child-directed
full,5,physical,0.0,0.384444444444444,2-4yo,child-directed
cozy,10,value,0.1,0.683333333333333,2-4yo,child-directed
pathetic,1,value,0.0,0.687692307692308,2-4yo,child-directed
french,11,nationality,0.0,0.278888888888889,2-4yo,child-directed
wild,4,value,0.0,0.636428571428571,2-4yo,child-directed
ancient,1,age,1.0,0.444,2-4yo,child-directed
merry,5,human,1.0,0.72,2-4yo,child-directed
strong,58,physical,0.0,0.64375,2-4yo,child-directed
super,10,value,0.4,0.770833333333333,2-4yo,child-directed
dry,1,physical,0.0,0.3375,2-4yo,child-directed
scary,1,value,0.0,0.723333333333333,2-4yo,child-directed
great,168,value,0.9880952380952381,0.838,2-4yo,child-directed
last,47,temporal,0.0,0.39,2-4yo,child-directed
quiet,2,physical,0.0,0.36875,2-4yo,child-directed
side,2,location,0.0,0.271,2-4yo,child-directed
