class,mean,CI1,CI2,N,label
temporal,0.25,0.17741935483870969,0.32258064516129031,124,"child-directed, 2-4, not binned"
color,0.1050185873605948,0.086431226765799257,0.12360594795539033,1076,"child-directed, 2-4, not binned"
age,0.27433628318584069,0.22713864306784662,0.32153392330383479,339,"child-directed, 2-4, not binned"
material,0.0,0.0,0.0,68,"child-directed, 2-4, not binned"
value,0.81519956260251503,0.79606342263531982,0.83160196828868238,1829,"child-directed, 2-4, not binned"
shape,0.029411764705882353,0.0,0.088235294117647065,34,"child-directed, 2-4, not binned"
location,0.14285714285714285,0.028571428571428571,0.25714285714285712,35,"child-directed, 2-4, not binned"
human,0.53307392996108949,0.47081712062256809,0.58754863813229574,257,"child-directed, 2-4, not binned"
speed,0.33333333333333331,0.0,0.55555555555555558,9,"child-directed, 2-4, not binned"
dimension,0.52372458080627904,0.50517302889760973,0.54191937210132002,2803,"child-directed, 2-4, not binned"
physical,0.39148936170212767,0.34680851063829787,0.43404255319148938,470,"child-directed, 2-4, not binned"
temporal,0.3888888888888889,0.1111111111111111,0.55555555555555558,18,"child-produced, 2-4, not binned"
color,0.22569444444444445,0.1736111111111111,0.27083333333333331,288,"child-produced, 2-4, not binned"
age,0.22500000000000001,0.14999999999999999,0.29999999999999999,120,"child-produced, 2-4, not binned"
material,0.0,0.0,0.0,10,"child-produced, 2-4, not binned"
value,0.58518518518518514,0.53333333333333333,0.62962962962962965,405,"child-produced, 2-4, not binned"
shape,0.0,0.0,0.0,7,"child-produced, 2-4, not binned"
location,0.1875,0.0,0.375,16,"child-produced, 2-4, not binned"
human,0.65909090909090906,0.54545454545454541,0.73863636363636365,88,"child-produced, 2-4, not binned"
speed,0.33333333333333331,0.0,0.66666666666666663,3,"child-produced, 2-4, not binned"
dimension,0.58078994614003587,0.55116696588868941,0.60861759425493711,1114,"child-produced, 2-4, not binned"
physical,0.33980582524271846,0.24271844660194175,0.42718446601941745,103,"child-produced, 2-4, not binned"
