class,mean,CI1,CI2,N,label
temporal,0.29807692307692307,0.21153846153846154,0.38461538461538464,104,"child-directed, 2-4, not binned"
color,0.077235772357723581,0.06097560975609756,0.09451219512195122,984,"child-directed, 2-4, not binned"
age,0.24444444444444444,0.19259259259259259,0.29629629629629628,270,"child-directed, 2-4, not binned"
material,0.0,0.0,0.0,66,"child-directed, 2-4, not binned"
value,0.84332925336597309,0.82374541003671975,0.85985312117503065,1634,"child-directed, 2-4, not binned"
shape,0.030303030303030304,0.0,0.090909090909090912,33,"child-directed, 2-4, not binned"
location,0.14285714285714285,0.035714285714285712,0.25,28,"child-directed, 2-4, not binned"
human,0.74137931034482762,0.66091954022988508,0.79885057471264365,174,"child-directed, 2-4, not binned"
nationality,0.35714285714285715,0.17857142857142858,0.5,28,"child-directed, 2-4, not binned"
speed,0.25,0.0,0.5,8,"child-directed, 2-4, not binned"
dimension,0.52931461601981833,0.509083402146986,0.54872006606110657,2422,"child-directed, 2-4, not binned"
physical,0.2283464566929134,0.18635170603674542,0.26771653543307089,381,"child-directed, 2-4, not binned"
temporal,0.5,0.21428571428571427,0.7142857142857143,14,"child-produced, 2-4, not binned"
color,0.1895910780669145,0.14126394052044611,0.23791821561338289,269,"child-produced, 2-4, not binned"
age,0.23595505617977527,0.14606741573033707,0.3146067415730337,89,"child-produced, 2-4, not binned"
material,0.0,0.0,0.0,10,"child-produced, 2-4, not binned"
value,0.61111111111111116,0.55555555555555558,0.65833333333333333,360,"child-produced, 2-4, not binned"
shape,0.0,0.0,0.0,7,"child-produced, 2-4, not binned"
location,0.14285714285714285,0.0,0.2857142857142857,14,"child-produced, 2-4, not binned"
human,0.83333333333333337,0.71212121212121215,0.89393939393939392,66,"child-produced, 2-4, not binned"
nationality,0.0,0.0,0.0,3,"child-produced, 2-4, not binned"
speed,0.5,0.0,0.5,2,"child-produced, 2-4, not binned"
dimension,0.58121330724070452,0.54892367906066541,0.6095890410958904,1022,"child-produced, 2-4, not binned"
physical,0.25531914893617019,0.1702127659574468,0.34042553191489361,94,"child-produced, 2-4, not binned"
