class,mean,CI1,CI2,N,label
temporal,0.27433628318584069,0.18584070796460178,0.35398230088495575,113,"child-directed, 2-4, not binned"
color,0.076690211907164477,0.060544904137235116,0.093844601412714432,991,"child-directed, 2-4, not binned"
age,0.24175824175824176,0.19047619047619047,0.2893772893772894,273,"child-directed, 2-4, not binned"
material,0.0,0.0,0.0,68,"child-directed, 2-4, not binned"
value,0.83743251349730052,0.81823635272945416,0.85362927414517098,1667,"child-directed, 2-4, not binned"
shape,0.029411764705882353,0.0,0.088235294117647065,34,"child-directed, 2-4, not binned"
other,0.73124999999999996,0.65000000000000002,0.78749999999999998,160,"child-directed, 2-4, not binned"
location,0.13793103448275862,0.034482758620689655,0.27586206896551724,29,"child-directed, 2-4, not binned"
human,0.74285714285714288,0.66857142857142859,0.80000000000000004,175,"child-directed, 2-4, not binned"
nationality,0.35714285714285715,0.17857142857142858,0.5,28,"child-directed, 2-4, not binned"
speed,0.25,0.0,0.5,8,"child-directed, 2-4, not binned"
dimension,0.51860744297719086,0.49899959983993597,0.5374149659863946,2499,"child-directed, 2-4, not binned"
physical,0.2262210796915167,0.18251928020565553,0.2647814910025707,389,"child-directed, 2-4, not binned"
temporal,0.4375,0.125,0.625,16,"child-produced, 2-4, not binned"
color,0.19047619047619047,0.14285714285714285,0.23809523809523808,273,"child-produced, 2-4, not binned"
age,0.22826086956521738,0.14130434782608695,0.30434782608695654,92,"child-produced, 2-4, not binned"
material,0.0,0.0,0.0,10,"child-produced, 2-4, not binned"
value,0.6097560975609756,0.55555555555555558,0.65582655826558267,369,"child-produced, 2-4, not binned"
shape,0.0,0.0,0.0,7,"child-produced, 2-4, not binned"
other,0.61111111111111116,0.46296296296296297,0.72222222222222221,54,"child-produced, 2-4, not binned"
location,0.14285714285714285,0.0,0.2857142857142857,14,"child-produced, 2-4, not binned"
human,0.82608695652173914,0.69565217391304346,0.88405797101449279,69,"child-produced, 2-4, not binned"
nationality,0.0,0.0,0.0,3,"child-produced, 2-4, not binned"
speed,0.5,0.0,0.5,2,"child-produced, 2-4, not binned"
dimension,0.57607655502392341,0.54449760765550237,0.60382775119617227,1045,"child-produced, 2-4, not binned"
physical,0.25531914893617019,0.15957446808510639,0.34042553191489361,94,"child-produced, 2-4, not binned"
