class,mean,CI1,CI2,N,label
color,0.10465116279069768,0.072674418604651167,0.13953488372093023,344,"child-directed, 2-4, not binned"
age,0.23703703703703705,0.16296296296296298,0.3037037037037037,135,"child-directed, 2-4, not binned"
material,0.0,0.0,0.0,14,"child-directed, 2-4, not binned"
value,0.83807439824945296,0.79868708971553615,0.86870897155361049,457,"child-directed, 2-4, not binned"
shape,0.0,0.0,0.0,14,"child-directed, 2-4, not binned"
dimension,0.49673811742777257,0.46505125815470644,0.52562907735321529,1073,"child-directed, 2-4, not binned"
physical,0.18518518518518517,0.037037037037037035,0.33333333333333331,27,"child-directed, 2-4, not binned"
color,0.16842105263157894,0.11578947368421053,0.22105263157894736,190,"child-produced, 2-4, not binned"
age,0.15384615384615385,0.076923076923076927,0.23076923076923078,78,"child-produced, 2-4, not binned"
material,0.0,0.0,0.0,6,"child-produced, 2-4, not binned"
value,0.61728395061728392,0.53703703703703709,0.68518518518518523,162,"child-produced, 2-4, not binned"
shape,0.0,0.0,0.0,7,"child-produced, 2-4, not binned"
dimension,0.59312320916905448,0.55444126074498568,0.6275071633237822,698,"child-produced, 2-4, not binned"
physical,0.44444444444444442,0.16666666666666666,0.61111111111111116,18,"child-produced, 2-4, not binned"
dimension-age-physical,0.46153846153846156,0.43238866396761133,0.48906882591093115,1235,"child-directed, 2-4, binned"
value,0.83807439824945296,0.79868708971553615,0.8665207877461707,457,"child-directed, 2-4, binned"
shape-color-material,0.096774193548387094,0.067204301075268813,0.12634408602150538,372,"child-directed, 2-4, binned"
dimension-age-physical,0.54659949622166248,0.51133501259445846,0.57934508816120911,794,"child-produced, 2-4, binned"
value,0.61728395061728392,0.53703703703703709,0.68518518518518523,162,"child-produced, 2-4, binned"
shape-color-material,0.15763546798029557,0.10837438423645321,0.20689655172413793,203,"child-produced, 2-4, binned"
