class,mean,CI1,CI2,N,label
temporal,0.29807692307692307,0.20192307692307693,0.38461538461538464,104,"child-directed, 2-4, not binned"
color,0.077235772357723581,0.06097560975609756,0.09451219512195122,984,"child-directed, 2-4, not binned"
age,0.24444444444444444,0.19259259259259259,0.29259259259259257,270,"child-directed, 2-4, not binned"
material,0.0,0.0,0.0,66,"child-directed, 2-4, not binned"
value,0.84332925336597309,0.82496940024479803,0.86046511627906974,1634,"child-directed, 2-4, not binned"
shape,0.030303030303030304,0.0,0.090909090909090912,33,"child-directed, 2-4, not binned"
location,0.14285714285714285,0.035714285714285712,0.25,28,"child-directed, 2-4, not binned"
human,0.74137931034482762,0.66666666666666663,0.7931034482758621,174,"child-directed, 2-4, not binned"
nationality,0.35714285714285715,0.17857142857142858,0.5,28,"child-directed, 2-4, not binned"
speed,0.25,0.0,0.5,8,"child-directed, 2-4, not binned"
dimension,0.52931461601981833,0.50949628406275804,0.54954582989265066,2422,"child-directed, 2-4, not binned"
physical,0.2283464566929134,0.18372703412073491,0.27034120734908135,381,"child-directed, 2-4, not binned"
temporal,0.5,0.21428571428571427,0.7142857142857143,14,"child-produced, 2-4, not binned"
color,0.1895910780669145,0.14126394052044611,0.2342007434944238,269,"child-produced, 2-4, not binned"
age,0.23595505617977527,0.14606741573033707,0.3146067415730337,89,"child-produced, 2-4, not binned"
material,0.0,0.0,0.0,10,"child-produced, 2-4, not binned"
value,0.61111111111111116,0.55833333333333335,0.65833333333333333,360,"child-produced, 2-4, not binned"
shape,0.0,0.0,0.0,7,"child-produced, 2-4, not binned"
location,0.14285714285714285,0.0,0.2857142857142857,14,"child-produced, 2-4, not binned"
human,0.83333333333333337,0.71212121212121215,0.89393939393939392,66,"child-produced, 2-4, not binned"
nationality,0.0,0.0,0.0,3,"child-produced, 2-4, not binned"
speed,0.5,0.0,0.5,2,"child-produced, 2-4, not binned"
dimension,0.58121330724070452,0.54892367906066541,0.61056751467710368,1022,"child-produced, 2-4, not binned"
physical,0.25531914893617019,0.15957446808510639,0.34042553191489361,94,"child-produced, 2-4, not binned"
