class,mean,CI1,CI2,N,age,p/d
1,0.078014184397163122,0.035460992907801421,0.1276595744680851,141,2,child-directed
2,0.11522633744855967,0.086419753086419748,0.1440329218106996,486,2,child-directed
3,0.48661417322834644,0.44724409448818897,0.52440944881889762,635,2,child-directed
4,0.33656957928802589,0.28155339805825241,0.38834951456310679,309,2,child-directed
5,0.69541284403669723,0.66605504587155961,0.72201834862385317,1090,2,child-directed
6,0.89171974522292996,0.82802547770700641,0.92993630573248409,157,2,child-directed
7,1.0,1.0,1.0,62,2,child-directed
1,0.30434782608695654,0.15217391304347827,0.43478260869565216,46,2,child-produced
2,0.10273972602739725,0.054794520547945202,0.15068493150684931,146,2,child-produced
3,0.42603550295857989,0.34911242603550297,0.49704142011834318,169,2,child-produced
4,0.48148148148148145,0.37962962962962965,0.56481481481481477,108,2,child-produced
5,0.66588785046728971,0.61915887850467288,0.70794392523364491,428,2,child-produced
6,0.80000000000000004,0.59999999999999998,0.88571428571428568,35,2,child-produced
