class,mean,CI1,CI2,N,age,p/d
1,0.20000000000000001,0.0,0.40000000000000002,5,3,child-directed
2,0.024193548387096774,0.0,0.056451612903225805,124,3,child-directed
3,0.26356589147286824,0.18604651162790697,0.33333333333333331,129,3,child-directed
4,0.27272727272727271,0.19008264462809918,0.34710743801652894,121,3,child-directed
5,0.42095238095238097,0.37714285714285717,0.46095238095238095,525,3,child-directed
6,0.68918918918918914,0.55405405405405406,0.77027027027027029,74,3,child-directed
7,0.27927927927927926,0.1981981981981982,0.36036036036036034,111,3,child-directed
8,0.53072625698324027,0.47486033519553073,0.57821229050279332,358,3,child-directed
9,0.84926470588235292,0.79779411764705888,0.88602941176470584,272,3,child-directed
10,0.74698795180722888,0.66867469879518071,0.8012048192771084,166,3,child-directed
11,0.8764044943820225,0.7865168539325843,0.9213483146067416,89,3,child-directed
12,0.73076923076923073,0.5,0.84615384615384615,26,3,child-directed
1,0.5,0.0,0.5,2,3,child-produced
2,0.35714285714285715,0.071428571428571425,0.5714285714285714,14,3,child-produced
3,0.27272727272727271,0.090909090909090912,0.45454545454545453,22,3,child-produced
4,0.30769230769230771,0.11538461538461539,0.46153846153846156,26,3,child-produced
5,0.42076502732240439,0.34426229508196721,0.48633879781420764,183,3,child-produced
6,0.51851851851851849,0.29629629629629628,0.66666666666666663,27,3,child-produced
7,0.2978723404255319,0.1702127659574468,0.42553191489361702,47,3,child-produced
8,0.65838509316770188,0.57763975155279501,0.72049689440993792,161,3,child-produced
9,0.56382978723404253,0.44680851063829785,0.64893617021276595,94,3,child-produced
10,0.875,0.5,0.9375,16,3,child-produced
11,0.6428571428571429,0.2857142857142857,0.7857142857142857,14,3,child-produced
12,0.0,0.0,0.0,1,3,child-produced
