class,mean,CI1,CI2,N,age,p/d
1,0.177777778,0.066666667,0.288888889,45,4,child-directed
2,0.047169811,0.018867925,0.075471698,212,4,child-directed
3,0.330434783,0.27826087,0.379710145,345,4,child-directed
4,0.483091787,0.410628019,0.54589372,207,4,child-directed
5,0.711832061,0.669847328,0.748091603,524,4,child-directed
6,0.916666667,0.848484848,0.946969697,132,4,child-directed
7,0.76,0.52,0.88,25,4,child-directed
1,0.32,0.12,0.48,25,4,child-produced
2,0.253968254,0.142857143,0.349206349,63,4,child-produced
3,0.568807339,0.458715596,0.651376147,109,4,child-produced
4,0.428571429,0.285714286,0.535714286,56,4,child-produced
5,0.552238806,0.47761194,0.616915423,201,4,child-produced
6,0.875,0.5,0.9375,16,4,child-produced
