class,mean,CI1,CI2,N,age,p/d
1,0.5,0.25,0.65000000000000002,20,2,child-directed
2,0.071428571428571425,0.038095238095238099,0.10476190476190476,210,2,child-directed
3,0.30165289256198347,0.23966942148760331,0.35950413223140498,242,2,child-directed
4,0.12213740458015267,0.083969465648854963,0.16030534351145037,262,2,child-directed
5,0.50649350649350644,0.47012987012987012,0.54025974025974022,770,2,child-directed
6,0.68103448275862066,0.58620689655172409,0.75,116,2,child-directed
7,0.25641025641025639,0.19658119658119658,0.31196581196581197,234,2,child-directed
8,0.60230179028132991,0.56649616368286448,0.63427109974424556,782,2,child-directed
9,0.83379501385041555,0.78947368421052633,0.86703601108033246,361,2,child-directed
10,0.68322981366459623,0.60248447204968947,0.74534161490683226,161,2,child-directed
11,0.9263157894736842,0.84210526315789469,0.95789473684210524,95,2,child-directed
12,1.0,1.0,1.0,68,2,child-directed
1,0.83333333333333337,0.16666666666666666,1.0,6,2,child-produced
2,0.1864406779661017,0.084745762711864403,0.28813559322033899,59,2,child-produced
3,0.14925373134328357,0.059701492537313432,0.23880597014925373,67,2,child-produced
4,0.16883116883116883,0.090909090909090912,0.24675324675324675,77,2,child-produced
5,0.44134078212290501,0.36312849162011174,0.50837988826815639,179,2,child-produced
6,0.34146341463414637,0.1951219512195122,0.46341463414634149,41,2,child-produced
7,0.67391304347826086,0.5,0.78260869565217395,46,2,child-produced
8,0.71818181818181814,0.66363636363636369,0.76060606060606062,330,2,child-produced
9,0.51428571428571423,0.42857142857142855,0.59285714285714286,140,2,child-produced
10,0.87096774193548387,0.67741935483870963,0.93548387096774188,31,2,child-produced
11,0.41666666666666669,0.083333333333333329,0.58333333333333337,12,2,child-produced
