class,mean,CI1,CI2,N,age,p/d
1,0.0,0.0,0.0,8,2,child-directed
2,0.068421052631578952,0.036842105263157891,0.10526315789473684,190,2,child-directed
3,0.19796954314720813,0.14213197969543148,0.25380710659898476,197,2,child-directed
4,0.063559322033898302,0.033898305084745763,0.093220338983050849,236,2,child-directed
5,0.49333333333333335,0.45333333333333331,0.53166666666666662,600,2,child-directed
6,0.68468468468468469,0.5855855855855856,0.7567567567567568,111,2,child-directed
7,0.16580310880829016,0.11398963730569948,0.21761658031088082,193,2,child-directed
8,0.6155988857938719,0.57938718662952648,0.65041782729805009,718,2,child-directed
9,0.84146341463414631,0.79573170731707321,0.875,328,2,child-directed
10,0.71527777777777779,0.63194444444444442,0.77777777777777779,144,2,child-directed
11,0.92473118279569888,0.83870967741935487,0.956989247311828,93,2,child-directed
12,1.0,1.0,1.0,62,2,child-directed
1,0.83333333333333337,0.0,1.0,6,2,child-produced
2,0.17543859649122806,0.070175438596491224,0.26315789473684209,57,2,child-produced
3,0.080645161290322578,0.016129032258064516,0.14516129032258066,62,2,child-produced
4,0.13432835820895522,0.059701492537313432,0.20895522388059701,67,2,child-produced
5,0.42603550295857989,0.34911242603550297,0.49704142011834318,169,2,child-produced
6,0.33333333333333331,0.17948717948717949,0.46153846153846156,39,2,child-produced
7,0.66666666666666663,0.48888888888888887,0.77777777777777779,45,2,child-produced
8,0.71246006389776362,0.65814696485623003,0.75718849840255587,313,2,child-produced
9,0.50375939849624063,0.41353383458646614,0.5864661654135338,133,2,child-produced
10,0.93103448275862066,0.68965517241379315,0.96551724137931039,29,2,child-produced
11,0.41666666666666669,0.083333333333333329,0.58333333333333337,12,2,child-produced
