class,mean,CI1,CI2,N,age,p/d
1,0.166666667,0.0625,0.270833333,48,4,child-directed
2,0.162878788,0.117424242,0.208333333,264,4,child-directed
3,0.332579186,0.287330317,0.373303167,442,4,child-directed
4,0.497797357,0.431718062,0.559471366,227,4,child-directed
5,0.722580645,0.683870968,0.75483871,620,4,child-directed
6,0.912408759,0.846715328,0.948905109,137,4,child-directed
7,0.842105263,0.657894737,0.921052632,38,4,child-directed
1,0.307692308,0.115384615,0.461538462,26,4,child-produced
2,0.329268293,0.219512195,0.414634146,82,4,child-produced
3,0.594202899,0.5,0.666666667,138,4,child-produced
4,0.459016393,0.327868852,0.573770492,61,4,child-produced
5,0.552419355,0.483870968,0.608870968,248,4,child-produced
6,0.833333333,0.5,0.944444444,18,4,child-produced
